site_clean,target,fire_count,fire_min,fire_max,fire_mean,fire_sum,fire_std,fire_med,fire_major,fire_minor,burnt_enco,fire_sn_ord,fire_f,fire_tot,since_fire,fire_gap,fire_pois1_2,fire_pois1_5,fire_pois1_10,tot_an_emsi_avg_si,tot_an_drsi_avg_si,tot_avg_emse_djf,tot_avg_emse_mam,tot_avg_emse_jja,tot_avg_emse_son,tot_avg_emse_dry,tot_avg_emse_wet,tot_avg_emse_annual,tot_avg_drse_djf,tot_avg_drse_mam,tot_avg_drse_jja,tot_avg_drse_son,tot_avg_drse_dry,tot_avg_drse_wet,tot_avg_drse_annual,b1_wfp_dry_mean,b1_wfp_dry_p50,b1_wfp_dry_p99,b1_wdc_dry_major,b1_n17_dry_major,b1_hsd_mean,b1_hsd_p50,b1_hsd_p99,b1_hmc_mean,b1_hmc_p50,b1_hmc_p99,b1_hcv_mean,b1_hcv_p50,b1_hcv_p99,b1_h99_mean,b1_h99_p50,b1_h99_p99,b1_fdc_dry_major,b1_ccw_dry_mean,b1_ccw_dry_p50,b1_ccw_dry_p99,b1_dbifm_dry_mean,b1_dp1fm_dry_mean,b1_dp1fm_dry_p50,b1_dp1fm_dry_p99,b2_dp1fm_dry_mean,b2_dp1fm_dry_p50,b2_dp1fm_dry_p95,b3_dp1fm_dry_mean,b3_dp1fm_dry_p50,b3_dp1fm_dry_p99,b1_dbifm_dry_p50,b1_dbifm_dry_p99,b2_dbifm_dry_mean,b2_dbifm_dry_p50,b2_dbifm_dry_p99,b3_dbifm_dry_mean,b3_dbifm_dry_p50,b3_dbifm_dry_p99,b4_dbifm_dry_mean,b4_dbifm_dry_p50,b4_dbifm_dry_p99,b5_dbifm_dry_mean,b5_dbifm_dry_p50,b5_dbifm_dry_p99,b6_dbifm_dry_mean,b6_dbifm_dry_p50,b6_dbifm_dry_p99,dbifmdry_r32,dbifmdry_r42,dbifmdry_r43,dbifmdry_r52,dbifmdry_r53,dbifmdry_r54,dbifmdry_r62,dbifmdry_r63,dbifmdry_r64,dbifmdry_r65,dbifmdry_GSAVI,dbifmdry_GNDVI,dbifmdry_CVI,dbifmdry_NDGI,dbifmdry_RI,dbifmdry_NBR,dbifmdry_NDII,dbifmdry_GDVI,dbifmdry_MSAVI,dbifmdry_DVI,dbifmdry_SAVI,dbifmdry_NDVI,dbifmdry_MSR
hsf01.2012,25701.69,20,0,0,0,0,0,0,0,0,0,0,0,0,25,15.5,0,0,0,10.83116217,11.47829464,455.5,331.7,238.8,490,462.6,1061.9,1524.5,1011.8,664.9,0,291.4,122.4,1602.4,1724.8,65.25,66.5,69.89,3,4,102.8898373,102.7171249,104.2381236,107.1547585,107.1040764,109.2623365,146.1245511,146.6202087,151.2030765,112.8772678,112.2833977,116.3344658,3,85.58333333,86.5,88.89,264.6666667,3.583333333,3.5,5,59.83333333,60.5,63.45,35.25,34.5,40.89,259,288.89,386.75,394.5,423.56,361.5,359,389.78,1666.666667,1673.5,1737.01,1230.416667,1225.5,1258.79,565.4166667,580.5,600.89,,43094161,46104195,31814264,34036422,7382500,14619694,15640848,3392500,4595327,2722632,6237817,40365245,,,4935007,1505525,1280000,2383996,1305000,2785684,6438086,11482454
hsf02.2012,26636.295,16,0,0,0,0,0,0,0,0,0,0,0,0,25,15.5,0,0,0,10.83116217,11.47829464,455.5,331.7,238.8,490,462.6,1061.9,1524.5,1011.8,664.9,0,291.4,122.4,1602.4,1724.8,59.88888889,61,65.84,3,4,102.6941808,102.5454865,104.1277844,106.2696593,105.9152222,109.8546027,145.2576633,144.881012,149.9462457,111.7693626,111.0202789,116.0761359,3,81.33333333,82,85.92,266.2222222,4.555555556,4,8.84,55.44444444,56,59.6,38.66666667,39,44.76,309,345.44,396.7777778,420,463.08,401.1111111,416,447.44,1721.666667,1722,1790.04,1281.777778,1271,1336.76,634.5555556,639,696.12,10109213,43391207,42922438,32304677,31955679,7444982,15992719,15819945,3685705,4950589,2792609,6258857,44008328,-62735,62735,4615711,1465690,1325000,2388352,1320000,2780118,6220547,10716589
hshr01.2012,35199.71,16,0,0,0,0,0,0,0,0,0,0,0.44286,7,7,3.933333333,6.492,0.494,0.01,10.84900121,11.48127336,457.3,332.9,242.3,494.6,468.2,1067,1535.2,985.3,596.7,0,276.2,91.3,1577.3,1668.6,72.55555556,73,82.76,4,1,104.4255668,104.249588,106.094194,111.0525699,110.7542114,114.0974222,141.6434479,140.2699585,147.6827545,117.9482261,116.9997253,122.9249463,3,90.22222222,91,95.92,234,2.333333333,2.5,3,71.33333333,71,75.75,24.83333333,25,29,254,336.32,367.3333333,364,416.52,384.4444444,392,459.04,2125.777778,2162,2408.12,1293.555556,1316,1657.52,554.1111111,555,754.6,10465820,57870538,,35214761,33647399,6085093,15084694,14413295,2606628,4283628,3519754,7054575,60584012,-226365,226365,5864128,2434172,1758000,3131803,1741000,3477827,6939020,13524145
jdr01.2012,21469.14,25,0,0,0,0,0,0,0,0,0,0,0.51667,6,15,5.833333333,5.087,0.269,0.003,10.80049848,11.66962283,430.5,306.9,137.6,388.3,303.8,985.2,1289,929.2,574.5,0,148,18.7,1562,1580.7,51.16666667,50,60.56,3,1,104.6958262,104.6547813,105.2617178,110.7609482,110.806778,113.5703072,146.2808393,145.0387878,152.9320049,118.2873472,118.2852631,119.9754755,3,73.58333333,73,81.67,292.1666667,2.416666667,2,3.89,48.83333333,48,54.35,47.33333333,48,51.89,294,362.81,533.5,528.5,578.23,743.9166667,739,872.17,2484,2487.5,2599.9,2056.5,2049.5,2260.81,1055.75,1092.5,1218.28,13944080,46560450,33390837,38547329,27644225,8278986,19789128,14191778,4250201,5133722,3650368,6466689,64965979,-1645768,1645768,4037864,942731,1951000,2880712,1741000,3174304,5395104,8284428
jdr02.2012,22699.39,16,0,0,0,0,0,0,0,0,0,0,0.34444,9,7,3.1,9.432,1.258,0.064,10.78585248,11.68718277,431.2,308.6,139.9,391.2,307.9,988.1,1296,943.5,554.7,0,144.4,17.7,1566.1,1583.8,41.25,40,50.25,3,1,104.7875805,104.8068657,105.3054783,108.4724703,108.3088646,110.1598682,161.1978464,161.5141144,166.5326431,116.8026075,116.9132233,118.5483627,3,62.875,62,73.1,345.25,1.461538462,1,2.88,48.07692308,47,54.8,49.15384615,50,52.88,349,388.79,588.75,575,647.84,879,862,955.27,2376.25,2380,2444.82,2363.75,2374,2486.97,1243,1246.5,1318.53,14929936,40360934,27033561,40148620,26891354,9947396,21112527,14141069,5230931,5258593,3367654,6032389,60406081,-1983640,1983640,3130699,27432,1788000,2429751,1497000,2720170,4599078,6441021
jdr03.2012,11180.4,20,0,5,0.75,15,1.785357107,0,0,5,0,0,0.18235,17,1,1.8,20.085,8.323,2.815,10.78631962,11.65870377,432.2,309.3,140.3,395.6,310.2,992.8,1303,925.8,551.8,0,160,17.4,1548.7,1566.1,31.77777778,33,39.76,3,1,103.6990339,103.6705017,104.124743,106.5205739,106.7857971,107.2196024,158.3909268,157.1536713,170.1807269,113.7422943,113.8440247,114.9232208,3,51,53,61.68,454.4444444,1.222222222,1,2,34,35,36.6,63.55555556,63,67.92,457,491.2,767.6666667,769,796.12,1120.555556,1112,1221.76,2718.222222,2709,2923.32,2664.444444,2671,2831.92,1493.222222,1517,1595.84,14596903,35408887,24257809,34708351,23777888,9802158,19451440,13325731,5493378,5604254,3449028,5598278,51745996,-1870694,1870694,2909048,100334,1951000,2463714,1598000,2712152,4163627,5578144
jdr04.2012,3742.2,25,0,0,0,0,0,0,0,0,0,0,0.62,5,21,9.533333333,3.768,0.127,0.001,10.78422203,11.63941457,430.2,304.75,133.9,384.4,297.2,981.65,1278.85,895.55,603.9,0,141.05,17.35,1545.75,1563.1,7.75,7,13,1,1,101.1101532,101.0590363,101.4701405,102.1712532,102.1611557,102.6108815,145.1702181,144.537796,150.2746056,105.0653585,104.879612,106.1131654,2,14.08333333,13,23,366.8333333,1.75,1.5,3.89,19.75,21,22.35,77.33333333,77,80,353.5,443.9,579.3333333,569,660.35,908.6666667,903.5,1006.72,1842.333333,1850.5,1906.35,3093,3071.5,3201.24,1849.25,1901.5,2002.06,15684695,31800921,20275128,53388953,34038885,16788493,31920311,20351247,10037543,5978823,2552890,5216853,49890556,-2212508,2212508,-18965,-2534954,1263000,1537948,934000,1807742,3396364,4243014
legu01.2012,2217.6,16,0,0,0,0,0,0,0,0,0,0,0.44286,7,3,3.1,6.492,0.494,0.01,10.07667959,11.96365211,402,225.9,54.1,329.9,143,878.2,1021.2,500,337.3,0,120.1,0,957.4,957.4,2.125,2,3.93,1,1,101.7710376,101.854454,102.0067432,102.8218104,102.8842773,103.1736511,161.0190006,161.8762054,167.6771167,109.5826009,109.285675,111.8546713,1,4.222222222,5,6.92,465.5555556,4,4,5.92,8.222222222,9,10.6,86.55555556,86,89.84,464,530.6,827.5555556,818,914.88,1294.111111,1328,1392.2,2344.111111,2342,2402.2,3043.444444,3048,3137.32,1922.555556,1932,2084.76,15637755,28325725,18113677,36776316,23517644,12983363,23231740,14856186,8201640,6317038,2784849,4783980,44348697,-2201792,2201792,989217,-1297568,1517000,1605156,1050000,1823339,2886201,3458965
legu04.2012,3648.393,16,0,0,0,0,0,0,0,0,0,0,0.25833,12,1,1.766666667,13.818,3.267,0.434,10.07667959,11.96365211,402,225.9,54.1,329.9,143,878.2,1021.2,500,337.3,0,120.1,0,957.4,957.4,9.583333333,9,18.56,1,3,102.4191252,102.3520851,103.0503481,104.2437592,104.0576057,106.0110537,162.4531962,162.8254623,168.8532825,109.2006957,109.8504181,112.4354945,2,17.33333333,16,32.34,487.0833333,9.333333333,9.5,14.78,17.41666667,17,24.35,71.66666667,73.5,80.56,472.5,592.12,828,832.5,911.68,1256.916667,1263.5,1427.05,2442.25,2455,2510.45,2739,2754,2931.35,1832.083333,1873.5,1991.6,15180153,29495773,19430485,33079710,21791421,11215068,22126610,14576013,7501621,6688877,2927449,4935780,44737800,-2053743,2053743,1427234,-573248,1614000,1814979,1186000,2045298,3207139,3943699
legu05.2012,4723.999,16,0,0,0,0,0,0,0,0,0,0,0.51667,6,1,3.233333333,5.087,0.269,0.003,10.07667959,11.96365211,402,225.9,54.1,329.9,143,878.2,1021.2,500,337.3,0,120.1,0,957.4,957.4,27.33333333,27,35.52,2,7,102.0971858,102.1667404,103.0168018,103.6764662,103.7717972,105.0991879,158.1656765,160.8113251,173.2172205,109.2948829,109.4481735,111.9803748,3,44.88888889,45,55.44,297.3333333,1.888888889,2,3,32,32,36.4,64.44444444,65,68,281,393.12,537.4444444,505,645.4,835.2222222,810,949.88,2103.111111,2116,2199.88,2161.111111,2163,2255.2,1152.666667,1156,1267.28,15540624,39131693,25180258,40210875,25874684,10275782,21447178,13800718,5480769,5333676,3074607,5931818,60894375,-2172012,2172012,2921659,-136023,1566000,2093748,1268000,2396070,4315861,5869981
