uid,site_clean,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha,geometry,basal_dt,year,tot_an_emsi_avg,tot_an_emsi_avg_R,tot_an_emsi_avg_si,emsi_dt,tot_an_drsi_avg,tot_an_drsi_avg_R,tot_an_drsi_avg_si,drsi_dt,tot_avg_emse_djf,tot_avg_emse_mam,tot_avg_emse_jja,tot_avg_emse_son,tot_avg_emse_dry,tot_avg_emse_wet,tot_avg_emse_annual,emse_dt,tot_avg_drse_djf,tot_avg_drse_mam,tot_avg_drse_jja,tot_avg_drse_son,tot_avg_drse_dry,tot_avg_drse_wet,tot_avg_drse_annual,drse_dt,rain_d_mean,et_ma_mean,tmax_mean,tmin_mean,rh_tmax_mean,rh_tmin_mean,b1_wfp_dry_min,b1_wfp_dry_max,b1_wfp_dry_mean,b1_wfp_dry_std,b1_wfp_dry_med,b1_wfp_dry_p25,b1_wfp_dry_p50,b1_wfp_dry_p75,b1_wfp_dry_p95,b1_wfp_dry_p99,b1_wdc_dry_major,b1_wdc_dry_minor,b1_n17_dry_major,b1_n17_dry_minor,b1_hsd_min,b1_hsd_max,b1_hsd_mean,b1_hsd_std,b1_hsd_med,b1_hsd_p25,b1_hsd_p50,b1_hsd_p75,b1_hsd_p95,b1_hsd_p99,b1_hmc_min,b1_hmc_max,b1_hmc_mean,b1_hmc_std,b1_hmc_med,b1_hmc_p25,b1_hmc_p50,b1_hmc_p75,b1_hmc_p95,b1_hmc_p99,b1_hcv_min,b1_hcv_max,b1_hcv_mean,b1_hcv_std,b1_hcv_med,b1_hcv_p25,b1_hcv_p50,b1_hcv_p75,b1_hcv_p95,b1_hcv_p99,b1_h99_min,b1_h99_max,b1_h99_mean,b1_h99_std,b1_h99_med,b1_h99_p25,b1_h99_p50,b1_h99_p75,b1_h99_p95,b1_h99_p99,b1_fdc_dry_major,b1_fdc_dry_minor,b1_ccw_dry_min,b1_ccw_dry_max,b1_ccw_dry_mean,b1_ccw_dry_std,b1_ccw_dry_med,b1_ccw_dry_p25,b1_ccw_dry_p50,b1_ccw_dry_p75,b1_ccw_dry_p95,b1_ccw_dry_p99,b1_dp1_dry_min,b1_dp1_dry_max,b1_dp1_dry_mean,b1_dp1_dry_std,b1_dp1_dry_med,b1_dp1_dry_p25,b1_dp1_dry_p50,b1_dp1_dry_p75,b1_dp1_dry_p95,b1_dp1_dry_p99,b2_dp1_dry_min,b2_dp1_dry_max,b2_dp1_dry_mean,b2_dp1_dry_std,b2_dp1_dry_med,b2_dp1_dry_p25,b2_dp1_dry_p50,b2_dp1_dry_p75,b2_dp1_dry_p95,b2_dp1_dry_p99,b3_dp1_dry_min,b3_dp1_dry_max,b3_dp1_dry_mean,b3_dp1_dry_std,b3_dp1_dry_med,b3_dp1_dry_p25,b3_dp1_dry_p50,b3_dp1_dry_p75,b3_dp1_dry_p95,b3_dp1_dry_p99,b1_dbi_dry_min,b1_dbi_dry_max,b1_dbi_dry_mean,b1_dbi_dry_std,b1_dbi_dry_med,b1_dbi_dry_p25,b1_dbi_dry_p50,b1_dbi_dry_p75,b1_dbi_dry_p95,b1_dbi_dry_p99,b2_dbi_dry_min,b2_dbi_dry_max,b2_dbi_dry_mean,b2_dbi_dry_std,b2_dbi_dry_med,b2_dbi_dry_p25,b2_dbi_dry_p50,b2_dbi_dry_p75,b2_dbi_dry_p95,b2_dbi_dry_p99,b3_dbi_dry_min,b3_dbi_dry_max,b3_dbi_dry_mean,b3_dbi_dry_std,b3_dbi_dry_med,b3_dbi_dry_p25,b3_dbi_dry_p50,b3_dbi_dry_p75,b3_dbi_dry_p95,b3_dbi_dry_p99,b4_dbi_dry_min,b4_dbi_dry_max,b4_dbi_dry_mean,b4_dbi_dry_std,b4_dbi_dry_med,b4_dbi_dry_p25,b4_dbi_dry_p50,b4_dbi_dry_p75,b4_dbi_dry_p95,b4_dbi_dry_p99,b5_dbi_dry_min,b5_dbi_dry_max,b5_dbi_dry_mean,b5_dbi_dry_std,b5_dbi_dry_med,b5_dbi_dry_p25,b5_dbi_dry_p50,b5_dbi_dry_p75,b5_dbi_dry_p95,b5_dbi_dry_p99,b6_dbi_dry_min,b6_dbi_dry_max,b6_dbi_dry_mean,b6_dbi_dry_std,b6_dbi_dry_med,b6_dbi_dry_p25,b6_dbi_dry_p50,b6_dbi_dry_p75,b6_dbi_dry_p95,b6_dbi_dry_p99,dbidry_psB1a,dbidry_psB2a,dbidry_psB3a,dbidry_psB4a,dbidry_psB5a,dbidry_psB6a,dbidry_r32,dbidry_r42,dbidry_r43,dbidry_r52,dbidry_r53,dbidry_r54,dbidry_r62,dbidry_r63,dbidry_r64,dbidry_r65,dbidry_GSAVI,dbidry_GNDVI,dbidry_CVI,dbidry_NDGI,dbidry_RI,dbidry_NBR,dbidry_NDII,dbidry_GDVI,dbidry_MSAVI,dbidry_DVI,dbidry_SAVI,dbidry_NDVI,dbidry_MSR
1,agb02.2012,20120417,131.0051903,-12.64729111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (131.0051902997444 -12.64729111005121),17/04/2012,2012,1495.9,4.298563218,10.79441406,15/06/2012,1593.1,4.35273224,11.4767034,15/06/2012,449.5,326.3,228.6,478.6,445.5,1050.4,1495.9,15/06/2012,1134.4,491.1,0.2,184.4,38.3,1554.8,1593.1,15/06/2012,0,2,35.6,22.3,3319,3368.3,42,53,45.88888889,3.984538017,44,42,44,50,51.8,52.76,3,3,4,3,102.2809372,104.972847,103.6328133,0.825421632,103.646904,103.0328979,103.646904,104.1816406,104.8110397,104.9404855,104.8228531,110.018013,107.1291351,1.617808413,107.2939682,105.9360123,107.2939682,108.3828583,109.4009048,109.8945914,146.6170044,162.6696472,151.3176066,4.73880245,150.0479584,147.9796906,150.0479584,152.4407043,159.4104492,162.0178076,109.9509125,118.3959961,114.126987,2.430912421,114.1517334,112.2892685,114.1517334,115.6575775,117.6652069,118.2498383,3,3,63,75,68,4.5704364,67,63,67,73,74.2,74.84,5,13,9.333333333,2.357022604,10,9,10,11,12.2,12.84,42,50,45,2.905932629,44,42,44,48,49.2,49.84,40,51,44,3.464101615,43,41,43,46,49.8,50.76,352,415,374.4444444,22.2915585,366,357,366,397,409.4,413.88,518,607,559.8888889,25.22980796,559,542,559,569,600.2,605.64,645,843,717.2222222,52.15740659,717,693,717,730,798.6,834.12,1892,2063,1967.333333,51.56010516,1955,1935,1955,2017,2045.4,2059.48,1957,2235,2039.444444,81.31572366,2023,1989,2023,2042,2182.6,2224.52,1136,1402,1244.111111,75.58136814,1247,1209,1247,1268,1361.6,1393.92,374.4444444,559.8888889,717.2222222,1967.333333,2039.444444,1244.111111,12810081,35137924,27429899,36425878,28435321,10366542,22220679,17346243,6323845,6100245,2806272,5574030,45133592,-1238245,1238245,2251635,-179730,1408000,2115290,1250000,2440135,4657228,6563137
2,amg01.2012,20120619,134.0516779,-16.38097179,413.634375,448.5528324,1310.224441,3748.311503,2886.444322,5058.535944,1811.635,8376.216104,880.0731383,915.4139438,2673.927432,7649.615312,5890.702698,10323.54274,3697.214286,17094.31858,POINT (134.0516779247276 -16.38097178688785),19/06/2012,2012,794.1,2.363392857,10.8185117,15/06/2012,630.8,1.723497268,11.64479154,15/06/2012,331,222,79.6,178.3,145.8,648.3,794.1,15/06/2012,280.8,261.8,2.1,104.6,6.3,624.5,630.8,15/06/2012,0,0.1,27,9.1,3294.4,3331.9,39,50,44,3.464101615,44,42,44,46,48.8,49.76,3,3,1,4,103.0437851,104.9349213,103.8762444,0.710096608,103.6888504,103.2978287,103.6888504,104.5700836,104.9170868,104.9313544,104.4640427,108.8015671,106.2549074,1.404727804,105.9104614,105.2002716,105.9104614,107.5282135,108.4422897,108.7297116,156.4434052,198.7592926,169.4135183,12.28601364,164.1144714,161.5829773,164.1144714,176.1058655,190.2887543,197.0651849,110.7809372,117.6131134,113.9308658,2.303858469,113.7153702,111.8525848,113.7153702,116.3255844,117.2051636,117.5315234,3,3,60,73,66,4.163331999,67,63,67,68,71.8,72.76,7,13,11.22222222,2.148786623,12,11,12,13,13,13,29,36,32.22222222,1.930905244,32,31,32,33,35.2,35.84,53,59,55.22222222,1.685083432,55,54,55,55,58.2,58.84,236,394,292.4444444,45.74108562,276,262,276,301,373.6,389.92,452,587,500.7777778,41.55525847,490,466,490,512,571.4,583.88,605,752,655.8888889,41.10540501,654,630,654,666,725.2,746.64,1814,2062,1938.888889,88.88999999,1925,1848,1925,2028,2049.6,2059.52,1965,2247,2074.777778,74.05220047,2055,2033,2055,2085,2198.2,2237.24,996,1222,1071.333333,73.02663137,1026,1014,1026,1109,1190.8,1215.76,292.4444444,500.7777778,655.8888889,1938.888889,2074.777778,1071.333333,13097404,38717550,29561240,41431107,31633068,10700860,21393388,16334067,5525501,5163605,2899973,5898277,50775600,-1341991,1341991,2881356,-338983,1438000,2197130,1283000,2534571,4947937,7201101
3,amg03.2012,20120620,134.0316178,-16.77900462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (134.0316178323347 -16.77900462426776),20/06/2012,2012,719.1,2.219444444,10.67041281,15/06/2012,623.4,1.703278689,11.88978236,15/06/2012,310.2,200.7,60.1,156,109.8,609.3,719.1,15/06/2012,258.4,280.2,0.4,76.4,0.9,622.5,623.4,15/06/2012,0,0.2,26.9,6.7,3296,3346.8,1,9,3.333333333,2.2852182,2.5,1.75,2.5,5,6.8,8.56,1,1,1,3,101.259697,101.9266739,101.5837186,0.187550996,101.5587463,101.4655914,101.5587463,101.6791916,101.8955173,101.9204426,102.9221344,103.9278564,103.4856491,0.333809732,103.5698853,103.1969414,103.5698853,103.7245502,103.890863,103.9204578,133.4571991,147.1187439,137.6957982,3.68333101,136.5628967,135.1959534,136.5628967,139.1945229,144.0723351,146.5094621,105.430275,107.3646088,106.5696958,0.593910489,106.7434349,106.0112457,106.7434349,106.9533863,107.3418362,107.3600542,1,1,2,16,6.916666667,3.861310946,5.5,4.5,5.5,10,12.7,15.34,1,6,3.083333333,1.497683396,3,2,3,4,5.45,5.89,1,9,4.833333333,2.640496586,4,3,4,7.25,9,9,87,93,90.41666667,1.846543317,90.5,89,90.5,92,93,93,373,468,412.3333333,25.99465757,411,397,411,426,450.4,464.48,615,746,677.25,32.03416145,672,665,672,689.75,730.05,742.81,1067,1305,1160.916667,61.9320304,1155,1111.5,1155,1178.5,1268.15,1297.63,2228,2387,2306.5,52.91738845,2314.5,2270.25,2314.5,2343.25,2385.9,2386.78,2947,3225,3090.5,85.85307216,3108.5,3017.25,3108.5,3155.75,3189.25,3217.85,1595,1802,1729.75,70.92028976,1744,1708,1744,1789,1800.35,1801.67,412.3333333,677.25,1160.916667,2306.5,3090.5,1729.75,17141627,34056848,19867920,45633075,26621205,13399090,25540790,14899864,7499458,5596991,3060879,5460945,58363315,-2629287,2629287,1429988,-1452928,1629000,1787156,1146000,2030475,3306405,4099401
4,amg05.2012,20120621,134.0906366,-16.73125956,833.6121429,906.465,3541.755,11522.385,8737.575,15064.14,5064.99,24670.8,1773.642857,1849.928571,7228.071429,23515.07143,17831.78571,30743.14286,10336.71429,50348.57143,POINT (134.0906366351442 -16.73125956338392),21/06/2012,2012,730.7,2.255246914,10.68732615,15/06/2012,630.7,1.723224044,11.87994648,15/06/2012,314.1,204.6,62.7,159.1,115,615.7,730.7,15/06/2012,281.5,271.1,0.4,77.7,0.9,629.8,630.7,15/06/2012,0,0.7,27.3,5.5,3301.9,3376.5,29,39,34.83333333,2.939198681,36,33.75,36,36,39,39,3,2,4,3,102.1998672,104.8058167,103.1392759,0.752289222,103.027401,102.5283108,103.027401,103.6200466,104.2755428,104.6997619,103.5809174,107.5875168,105.1402829,1.128915492,105.1534767,104.3476715,105.1534767,105.6739883,106.909903,107.451994,146.9037323,165.8861542,157.6130002,4.655247625,157.8769379,155.7073784,157.8769379,159.9243927,164.2458054,165.5580844,109.0571899,116.3001022,111.4926758,2.083345531,111.0981369,109.6659241,111.0981369,112.9380894,114.6911198,115.9783057,3,3,47,60,54.75,3.654335325,56,53.75,56,56,60,60,5,11,8.75,2.086664004,9.5,6.75,9.5,10.25,11,11,33,40,37.25,2.005201569,38,36.75,38,38,40,40,47,60,52.75,3.394235309,51.5,50.75,51.5,55.25,57.8,59.56,154,263,223.5833333,28.18231814,228,209.5,228,242,259.7,262.34,337,479,395.8333333,44.73036503,392.5,352.25,392.5,420.25,471.85,477.57,426,599,500.6666667,47.32570361,500.5,466,500.5,520.5,580.85,595.37,1365,1599,1483.5,65.94884381,1478.5,1436.5,1478.5,1539.5,1578.65,1594.93,1473,1971,1652.166667,151.4990832,1613,1538.75,1613,1693.75,1943.5,1965.5,768,1181,940.25,112.8938476,922.5,872.25,922.5,966.5,1157.9,1176.38,223.5833333,395.8333333,500.6666667,1483.5,1652.166667,940.25,12648421,37477895,29630493,41738947,32999334,11136951,23753684,18779960,6338052,5691012,2372783,5793397,47524435,-1173184,1173184,2241024,-539075,1088000,1753382,983000,2111557,4957136,7222079
5,amg06.2012,20120621,134.0878483,-16.69423322,104.2795714,113.393,443.051,1441.377,1093.015,1884.428,633.598,3086.16,221.8714286,231.4142857,904.1857143,2941.585714,2230.642857,3845.771429,1293.057143,6298.285714,POINT (134.0878483341189 -16.69423322370554),21/06/2012,2012,739.7,2.269018405,10.71729864,15/06/2012,648.6,1.772131148,11.86450447,15/06/2012,316.5,207.4,64.5,162.1,118.7,621,739.7,15/06/2012,277.7,275.1,0.4,86.7,1.4,647.2,648.6,15/06/2012,0,0.7,27.3,5.6,3302.1,3376.5,22,37,29.77777778,4.916588198,29,27,29,33,37,37,2,3,4,1,102.02211,104.391655,103.0152859,0.694493197,103.1588669,102.6289673,103.1588669,103.3845062,103.9964066,104.3126053,103.3751144,107.5966644,104.740654,1.189108758,104.5195389,104.3121109,104.5195389,104.9067993,106.7630737,107.4299463,157.0168915,170.4529114,163.2935638,4.628377365,163.678772,159.0252686,163.678772,165.6571808,170.2512024,170.4125696,108.0382004,115.3986359,110.9099536,1.944043604,111.1538544,109.8959808,111.1538544,111.2681122,113.9141052,115.1017297,3,2,37,58,48.33333333,6.71648056,47,45,47,53,58,58,2,7,5.222222222,1.39664501,6,5,6,6,6.6,6.92,28,39,33.77777778,3.520662115,33,32,33,36,39,39,54,64,59.44444444,3.624334762,59,57,59,63,63.6,63.92,200,344,259.5555556,41.52137632,265,236,265,275,322.8,339.76,437,550,477,37.5647589,465,454,465,484,544,548.8,554,685,614.6666667,40.89824772,619,589,619,642,676.2,683.24,1499,1623,1571.888889,48.69278852,1599,1518,1599,1611,1623,1623,1735,2015,1858.222222,73.85237193,1846,1822,1846,1893,1971,2006.2,876,1195,1005.333333,94.87301455,998,959,998,1068,1153.4,1186.68,259.5555556,477,614.6666667,1571.888889,1858.222222,1005.333333,12886094,32953645,25573030,38956441,30231381,11821588,21076171,16355748,6395702,5410189,2328320,5341797,42394332,-1255729,1255729,2197205,-836979,1094000,1668140,957000,1997912,4379863,5995724
6,amg08.2012,20120622,134.0886916,-16.5693192,997.5246429,1084.7025,4238.1675,13788.0225,10455.6375,18026.19,6060.915,29521.8,2122.392857,2213.678571,8649.321429,28138.82143,21338.03571,36788.14286,12369.21429,60248.57143,POINT (134.0886916313465 -16.56931920464764),22/06/2012,2012,768.3,2.293432836,10.77833033,15/06/2012,643.2,1.757377049,11.77899598,15/06/2012,325.3,214.9,72.3,170.4,132.9,635.4,768.3,15/06/2012,280.2,271.1,1.3,99.8,3.2,640,643.2,15/06/2012,0,0.8,27,5,3301.5,3376.5,50,62,57.22222222,3.010270485,58,57,58,58,60.8,61.76,3,3,4,1,102.7844772,105.6491394,103.4244283,0.835079471,103.1364441,102.9960403,103.1364441,103.3492889,104.9117523,105.501662,106.7774811,110.1569138,107.5853407,1.043575414,107.1794205,106.8380966,107.1794205,108.0586853,109.396254,110.0047818,136.7387238,152.5245361,144.8539785,4.841827163,144.3368378,141.8648682,144.3368378,146.9594116,151.8978394,152.3991968,112.0810547,118.4603882,113.893553,1.872711191,112.9249115,112.6080704,112.9249115,114.5893402,116.9841187,118.1651343,3,3,73,83,79.22222222,2.572408201,80,79,80,80,82.2,82.84,1,5,3.333333333,1.154700538,4,3,4,4,4.6,4.92,48,57,53.33333333,2.309401077,54,53,54,54,56.2,56.84,39,48,41.77777778,2.393406581,41,41,41,42,45.6,47.52,117,189,159.3333333,19.62990915,166,150,166,168,182.6,187.72,293,349,317.2222222,22.01402471,314,298,314,341,348.2,348.84,264,356,307.7777778,32.0131146,303,290,303,335,355.6,355.92,1383,1562,1449.444444,53.39810881,1448,1409,1448,1466,1540,1557.6,1123,1268,1179.333333,46.65714189,1179,1139,1179,1210,1247.2,1263.84,518,610,578.3333333,24.92655879,587,567,587,594,604,608.8,159.3333333,317.2222222,307.7777778,1449.444444,1179.333333,578.3333333,9702277,45691769,47093863,37176883,38317690,8136451,18231173,18790614,3990034,4903901,2509607,6409966,44267830,160256,-160256,4296991,1027397,1132000,2118919,1142000,2535524,6503417,11725261
7,amg10.2012,20120622,134.1876803,-16.41559201,110.5171429,120.036,418.796,1304.1,993.916,1722.896,591.864,2832.032,235.1428571,244.9714286,854.6857143,2661.428571,2028.4,3516.114286,1207.885714,5779.657143,POINT (134.1876803342419 -16.41559201378762),22/06/2012,2012,804.7,2.373746313,10.84843401,15/06/2012,657.5,1.796448087,11.74048285,15/06/2012,335.4,224.6,80.8,180.2,149,655.7,804.7,15/06/2012,317.7,255.3,1.6,102.7,4.8,652.7,657.5,15/06/2012,0,0.9,27.3,5.3,3302.1,3376.5,8,23,16.75,4.643543905,16.5,14,16.5,20.5,23,23,2,1,1,3,101.8975983,103.4418793,102.5863256,0.495786325,102.5451889,102.2041588,102.5451889,102.8705578,103.4136181,103.436227,103.030571,106.9694214,104.3307052,1.0081451,104.1945648,103.5493584,104.1945648,104.7708721,106.0901661,106.7935703,145.6639709,183.4222717,161.3260679,10.9277427,159.0872803,152.1485405,159.0872803,170.7314148,180.9972687,182.9372711,107.6927719,113.2103653,110.10146,1.580935647,110.0981026,108.8590088,110.0981026,110.6987,112.8716431,113.1426208,2,2,14,39,29.1875,7.510149383,29,25,29,35.5,39,39,1,4,2.25,0.924211376,2,1.75,2,3,3.45,3.89,19,26,22.5,2.140872096,22,21,22,24.25,25.45,25.89,70,76,73.75,1.963203165,74.5,73,74.5,75,76,76,293,410,364.4166667,29.70818724,367,349.25,367,383.5,402.85,408.57,566,649,610.4166667,23.72571858,614.5,590.75,614.5,628,642.95,647.79,786,924,851.1666667,45.13652131,843.5,811.5,843.5,894.25,912.45,921.69,1823,2066,1964.333333,69.00040258,1969.5,1928.75,1969.5,2023.75,2051.7,2063.14,2435,2667,2586.583333,71.83483177,2614.5,2537.25,2614.5,2646.25,2663.15,2666.23,1353,1673,1550.833333,89.27843462,1583,1490,1583,1611.5,1647.7,1667.94,364.4166667,610.4166667,851.1666667,1964.333333,2586.583333,1550.833333,13944027,32180205,23078128,42374061,30388682,13167741,25406143,18220090,7894960,5995683,2681542,5260295,44917065,-1649555,1649555,1178145,-1367033,1354000,1841765,1113000,2136276,3953819,5191686
8,ant01.2012,20120623,135.2932413,-17.97880849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2932413496029 -17.9788084853617),23/06/2012,2012,554.6,1.812418301,10.49403128,15/06/2012,541.1,1.478415301,11.62618363,15/06/2012,256.5,145.6,34.4,119.5,65.6,489,554.6,15/06/2012,211.2,274.1,6.1,75.7,6.6,534.5,541.1,15/06/2012,0,0.4,21.1,10.2,3296.5,3316.7,1,1,1,0,1,1,1,1,1,1,1,1,6,2,100.8014526,101.2014008,100.998092,0.134039561,101.0017891,100.8828411,101.0017891,101.1050873,101.1905704,101.1992347,101.6696777,102.3542786,101.9776217,0.188117361,102.0335808,101.8313942,102.0335808,102.0677528,102.2492485,102.3332726,142.2806244,148.2914734,145.2752151,1.92351293,144.5415268,144.0591125,144.5415268,147.1021461,148.2254425,148.2782672,103.3752518,105.5038452,104.6014474,0.623001287,104.6255913,104.2764893,104.6255913,105.0242214,105.431646,105.4894054,1,1,1,2,1.5,0.5,1.5,1.25,1.5,1.75,1.95,1.99,11,20,15.83333333,2.477678125,16,14,16,17.25,19.45,19.89,,6,1.833333333,1.67497927,1,1,1,2.25,4.9,5.78,77,85,80.75,2.24072161,81,79.5,81,81.25,84.45,84.89,726,905,835.0833333,45.75925832,837.5,810.25,837.5,865,895.1,903.02,1072,1278,1195.416667,54.98250985,1194,1164.25,1194,1225.5,1277.45,1277.89,1412,1643,1573.25,56.90507447,1583.5,1557,1583.5,1607.75,1632.55,1640.91,2231,2417,2313.25,57.94268001,2316,2267.25,2316,2348.75,2403.8,2414.36,3089,3400,3295.416667,83.4590302,3316.5,3244.75,3316.5,3345.25,3393.95,3398.79,2094,2505,2354.25,119.4244008,2382.5,2310.25,2382.5,2417.75,2502.8,2504.56,835.0833333,1195.416667,1573.25,2313.25,3295.416667,2354.25,13160683,19350993,14703639,27567097,20946554,14245830,19693970,14964246,10177240,7144013,1971086,3187001,25478188,-1365607,1365607,-87851,-1751070,1118000,1093678,740000,1249156,1904272,2126164
9,ant02.2012,20120624,135.0409458,-18.22450362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.0409458383976 -18.22450361999229),24/06/2012,2012,505.6,1.696644295,10.24444077,15/06/2012,525.6,1.436065574,11.81277476,15/06/2012,240.2,133.4,27.4,103.5,50.2,455.4,505.6,15/06/2012,160.3,271.9,1.1,77.4,2.4,523.2,525.6,15/06/2012,0,0.1,21.5,7.9,3296,3323.5,1,13,5.636363636,4.416348291,3,2,3,10.5,12,12.8,1,2,6,10,101.0481186,102.5117416,101.6129246,0.436189046,101.5736885,101.2776737,101.5736885,101.7815533,102.3829361,102.4859805,102.7474442,104.7996826,103.6785952,0.5128926,103.6539116,103.3755016,103.6539116,103.9667892,104.4736362,104.7344733,146.6303253,164.3847961,154.6952527,5.293573919,154.5534363,150.6374969,154.5534363,158.0065422,162.988253,164.1054875,101.1581116,103.4403076,102.1459452,0.816281587,101.879715,101.4415703,101.879715,102.6245632,103.4349239,103.4392309,2,1,3,23,10.81818182,7.420097792,6,5,6,19,21.5,22.7,6,12,8.083333333,1.800848565,8,6,8,9,10.9,11.78,3,21,12.08333333,5.574620067,10,8.5,10,18.25,19.9,20.78,68,86,78.16666667,6.46572158,81,71,81,83.25,85.45,85.89,507,674,592.25,49.10044976,582.5,560.5,582.5,631.25,666.3,672.46,781,981,872.5,59.38363972,874.5,819,874.5,906,968.35,978.47,1063,1371,1188.25,98.53690087,1189,1097.25,1189,1249.5,1353.95,1367.59,1825,2178,2055.916667,105.5094453,2068.5,2043.75,2068.5,2125,2175.8,2177.56,2542,3069,2749.916667,146.8090928,2728,2671.5,2728,2806,2992,3053.6,1554,1968,1752.25,119.4341695,1748.5,1692.25,1748.5,1803.5,1961.95,1966.79,592.25,872.5,1188.25,2055.916667,2749.916667,1752.25,13618911,23563515,17302055,31517670,23142577,13375623,20083095,14746476,8522962,6372011,2238552,4041681,32106672,-1533981,1533981,795902,-1444629,1183000,1360000,867000,1577702,2673451,3152178
10,ant03.2012,20120624,135.0580042,-18.24023511,22.47942857,24.444,95.508,310.716,235.62,406.224,136.584,665.28,47.82857143,49.88571429,194.9142857,634.1142857,480.8571429,829.0285714,278.7428571,1357.714286,POINT (135.0580042400688 -18.24023510938841),24/06/2012,2012,496.8,1.661538462,10.24562741,15/06/2012,525.7,1.436338798,11.8071486,15/06/2012,237.1,131.2,27,101,48.7,448.1,496.8,15/06/2012,157.6,274.1,1.4,71.1,2.7,523,525.7,15/06/2012,0,0.1,21.4,7.8,3296.1,3323.8,49,71,64.58333333,6.089038421,65,61,65,70,71,71,3,4,6,6,101.6066818,102.669838,102.1011982,0.321278886,102.0598755,101.8993092,102.0598755,102.2482891,102.6669132,102.669253,103.2414322,105.4913483,104.4564215,0.684452531,104.4870949,103.9059143,104.4870949,105.1299019,105.3961498,105.4723086,134.1479492,145.4484558,141.3132159,2.946337595,141.9911804,140.4999847,141.9911804,142.5548859,145.2773109,145.4142268,102.7658463,103.3069,103.0961692,0.170280802,103.1037865,102.9766178,103.1037865,103.2420368,103.3041389,103.3063478,3,3,71,90,84.83333333,5.161287522,85.5,82,85.5,89,90,90,3,6,4.333333333,0.849836586,4,4,4,5,5.45,5.89,47,65,59.33333333,5.055250296,59.5,56,59.5,64,65,65,28,48,34.83333333,5.550275268,35,30.5,35,37.5,43.6,47.12,425,490,454.1666667,19.52277872,453,438.75,453,461.75,488.9,489.78,705,815,776,31.6043246,786.5,759.25,786.5,794.5,814.45,814.89,786,984,897.5833333,57.06788112,899.5,875.5,899.5,937.5,968.05,980.81,2599,2824,2691.833333,54.21075129,2687,2665.5,2687,2710,2782.2,2815.64,2407,2712,2505.25,95.91065721,2488.5,2422,2488.5,2529.25,2686.15,2706.83,1174,1480,1333.083333,75.03716672,1328.5,1287,1328.5,1377,1443.7,1472.74,454.1666667,776,897.5833333,2691.833333,2505.25,1333.083333,11566796,34688574,29989787,32284149,27911057,9306854,17178909,14851917,4952325,5321159,3392583,5523507,40085075,-723252,723252,3374751,357968,1915000,2866948,1794000,3133442,5000000,7320508
