species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
Denhmai obscura,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
E. chlorostachys,2.0,2.0,1.4705882352941175,15.384615384615385,2.684563758389262,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
E. miniata,75.0,6.0,55.14705882352941,46.15384615384615,54.36241610738255,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
E. tetrodonta,37.0,2.0,27.205882352941174,15.384615384615385,26.174496644295303,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Eucalyptus sp.,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Exacarpos latafolia,5.0,0.0,3.6764705882352944,0.0,3.3557046979865772,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Owinea sp.,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Terminalia carpentariae,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Corymbia sp.,21.0,0.0,12.883435582822086,0.0,12.804878048780488,jdr01,105,20120522,0.75,7.0,POINT (131.5996997759004 -13.88378624750307),131.59969977590038,-13.883786247503068,7.0,23.285714285714285,0.14285714285714285,23.428571428571427,17.464285714285715,0.10714285714285714,17.57142857142857
E. miniata,142.0,1.0,87.11656441717791,100.0,87.1951219512195,jdr01,105,20120522,0.75,7.0,POINT (131.5996997759004 -13.88378624750307),131.59969977590038,-13.883786247503068,7.0,23.285714285714285,0.14285714285714285,23.428571428571427,17.464285714285715,0.10714285714285714,17.57142857142857
Corymbia sp.,42.0,0.0,21.875,0.0,21.0,jdr02,106,20120523,0.5,7.0,POINT (131.600245706593 -13.85726623878167),131.60024570659297,-13.857266238781667,7.0,27.428571428571427,1.1428571428571428,28.571428571428573,13.714285714285714,0.5714285714285714,14.285714285714286
E. tetrodonta,150.0,8.0,78.125,100.0,79.0,jdr02,106,20120523,0.5,7.0,POINT (131.600245706593 -13.85726623878167),131.60024570659297,-13.857266238781667,7.0,27.428571428571427,1.1428571428571428,28.571428571428573,13.714285714285714,0.5714285714285714,14.285714285714286
