,uid,site_x,date_er,am_date,year,date,zone,easting,northing,lattitude,longitude,datum,factor,count,height_o,height_g,Discription,issues,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11,siteyear,site_y,b1_h99a2_min,b1_h99a2_max,b1_h99a2_mean,b1_h99a2_med,b1_h99a2_std,b1_h99a2_p25,b1_h99a2_p50,b1_h99a2_p75,b1_h99a2_p95,b1_h99a2_p99
0,12,centa13,2013-02-06 00:00:00,20130602,2013,2013-06-02,53.0,322674.0,8409992.0,,,GDA94,0.25,7.0,,,,,E. tetrodonta,6.0,2.0,Corymbia bleeseri,4.0,0.0,Corymbia dichromphloia,2.0,0.0,E. chlorostachys,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,9.0,0.0,Corymbia bleeseri,3.0,0.0,Corymbia dichromphloia,2.0,0.0,E. miniata,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,7.0,0.0,Corymbia bleeseri,7.0,0.0,Corymbia dichromphloia,4.0,0.0,E. chlorostachys,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,11.0,1.0,Corymbia bleeseri,5.0,0.0,Corymbia dichromphloia,1.0,0.0,Buchanania obovata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,5.0,0.0,Corymbia bleeseri,4.0,0.0,Corymbia dichromphloia,1.0,0.0,E. chlorostachys,2.0,0.0,E. miniata,2.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,10.0,1.0,Corymbia bleeseri,3.0,0.0,Corymbia dichromphloia,2.0,0.0,E. chlorostachys,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,10.0,0.0,Corymbia bleeseri,3.0,0.0,Corymbia dichromphloia,2.0,0.0,E. miniata,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,centa13.2013_1ha,centa13.2013_1ha,8.869903564453125,19.669578552246094,14.77164039611816,15.510311126708984,3.7425753104253388,11.863758087158205,15.510311126708984,18.007888793945312,19.66236686706543,19.66813621520997
0,13,centa14,2012-02-06 00:00:00,20120602,2012,2012-06-02,53.0,315854.0,8407012.0,,,WGS84,0.25,7.0,,,,,E. tetrodonta,13.0,1.0,Corymbia dichromphloia,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,11.0,1.0,Corymbia dichromphloia,5.0,0.0,Buchanania obovata,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,9.0,0.0,Corymbia dichromphloia,5.0,0.0,E. chlorostachys,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,11.0,1.0,Corymbia dichromphloia,9.0,0.0,Buchanania obovata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,11.0,0.0,Corymbia dichromphloia,9.0,0.0,E. chlorostachys,3.0,0.0,Buchanania obovata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,8.0,1.0,Corymbia dichromphloia,9.0,0.0,E. chlorostachys,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,10.0,1.0,Corymbia dichromphloia,5.0,3.0,E. chlorostachys,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,centa14.2012_1ha,centa14.2012_1ha,12.558021545410154,16.825508117675778,14.28019180297852,14.090225219726562,1.039660887169834,13.583959579467773,14.090225219726562,14.912696838378904,15.902180480957046,16.640842590332028
0,14,gulf10,16/07/2013,20130716,2013,2013-07-16,53.0,636872.00112,8227817.17031,,,WGS84,0.25,7.0,,,,,E. miniata,9.0,1.0,E. tetrodonta,9.0,0.0,Acacia lamprocarpa,1.0,0.0,Corymbia grandifolia,1.0,0.0,Eucalyptus tectifica,1.0,0.0,,,,,,,,,,,,,,,,,,,E. miniata,14.0,0.0,E. tetrodonta,5.0,0.0,Acacia lamprocarpa,1.0,0.0,Corymbia grandifolia,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,10.0,0.0,E. tetrodonta,6.0,0.0,Buchanania obovata,2.0,0.0,E. chlorostachys,3.0,0.0,Eucalyptus tectifica,1.0,0.0,,,,,,,,,,,,,,,,,,,E. miniata,11.0,0.0,E. tetrodonta,2.0,0.0,E. chlorostachys,1.0,0.0,Eucalyptus tectifica,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,16.0,1.0,E. tetrodonta,6.0,0.0,E. chlorostachys,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,10.0,0.0,E. tetrodonta,11.0,0.0,Buchanania obovata,3.0,0.0,Eucalyptus tectifica,4.0,0.0,E. chlorostachys,3.0,0.0,,,,,,,,,,,,,,,,,,,E. miniata,9.0,0.0,E. tetrodonta,5.0,0.0,Buchanania obovata,1.0,0.0,Corymbia ferruginea,1.0,0.0,Acacia lamprocarpa,1.0,0.0,Corymbia grandifolia,1.0,0.0,,,,,,,,,,,,,,,,gulf10.2013_1ha,gulf10.2013_1ha,7.456062316894531,10.36821746826172,8.908465576171878,8.813865661621094,0.8450995292191041,8.321420669555664,8.813865661621094,9.717365264892578,10.02594871520995,10.299763717651373
0,15,gulf11,16/07/2013,20130716,2013,2013-07-16,53.0,671023.0,8220551.0,,,GDA94,0.25,7.0,,,,,E. tetrodonta,15.0,3.0,E. miniata,5.0,1.0,Buchanania obovata,1.0,0.0,E. chlorostachys,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,15.0,1.0,E. miniata,3.0,0.0,Buchanania obovata,1.0,0.0,P. pubescens,1.0,1.0,E. chlorostachys,3.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,14.0,0.0,E. miniata,4.0,1.0,Buchanania obovata,1.0,0.0,P. pubescens,2.0,0.0,E. chlorostachys,3.0,0.0,Planchonia sp.,1.0,1.0,,,,,,,,,,,,,,,,E. tetrodonta,10.0,1.0,E. miniata,13.0,1.0,Buchanania obovata,2.0,0.0,E. chlorostachys,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,24.0,1.0,E. miniata,1.0,0.0,P. pubescens,1.0,0.0,Corymbia ferruginea,4.0,0.0,E. chlorostachys,1.0,1.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,26.0,0.0,P. pubescens,2.0,0.0,Corymbia ferruginea,2.0,0.0,E. chlorostachys,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,12.0,0.0,E. miniata,10.0,0.0,E. chlorostachys,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,gulf11.2013_1ha,gulf11.2013_1ha,9.90509033203125,13.693946838378904,12.115508556365967,12.261432647705078,1.0829168189471443,11.33668327331543,12.261432647705078,13.156656265258787,13.568090438842773,13.66877555847168
0,24,umb07,2013-03-06 00:00:00,20130603,2013,2013-06-03,52.0,788961.7142,8454814.99169999,,,GDA94,0.25,7.0,,,,,E. miniata,11.0,0.0,E. tetrodonta,6.0,0.0,Acacia latesens,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,5.0,1.0,E. tetrodonta,3.0,0.0,E. chlorostachys,2.0,0.0,Buchanania obovata,2.0,0.0,Exacarpos latafolia,5.0,0.0,Denhmai obscura,1.0,0.0,Owinea sp.,1.0,0.0,Corymbia ferruginea,1.0,0.0,,,,,,,,,,E. miniata,10.0,0.0,E. tetrodonta,11.0,1.0,Acacia latesens,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,12.0,0.0,E. tetrodonta,5.0,0.0,E. chlorostachys,0.0,1.0,Acacia latesens,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,10.0,1.0,E. tetrodonta,5.0,1.0,E. chlorostachys,0.0,1.0,Acacia latesens,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,17.0,2.0,E. tetrodonta,4.0,0.0,Terminalia carpentariae,1.0,0.0,Corymbia sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,10.0,2.0,E. tetrodonta,3.0,0.0,Acacia latesens,0.0,2.0,Corymbia ferruginea,3.0,1.0,Eucalyptus sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,umb07.2013_1ha,umb07.2013_1ha,11.371315002441404,20.138954162597656,16.87381362915039,16.687980651855472,2.080467002931983,15.899017333984375,16.687980651855472,18.46196174621582,20.117594528198236,20.134682235717772
0,25,amg01,2012-06-19 00:00:00,20120619,2012,2012-06-19,53.0,398729.0,8188688.0,,,GDA94,0.25,7.0,11.0,0.4,"C. dicro, E.chloro low woodland over tussock grass",ok,Corymbia dichromphloia,1.0,0.0,E. chlorostachys,17.0,0.0,Corymbia ferruginea,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,3.0,0.0,Alphitonia excelsa,6.0,0.0,Bauhinia cunninghamii,2.0,0.0,E. chlorostachys,12.0,2.0,Terminalia canescens,2.0,1.0,Macropteranthes kekwickii,1.0,0.0,Brachychiton diversifolius,1.0,0.0,Atalaya hemiglauca,1.0,0.0,Corymbia ferruginea,3.0,0.0,Brachychiton paradoxus,1.0,0.0,Hakea arborescens,1.0,0.0,Corymbia dichromphloia,1.0,0.0,E. chlorostachys,14.0,0.0,Brachychiton diversifolius,3.0,0.0,Corymbia ferruginea,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. chlorostachys,10.0,0.0,Brachychiton diversifolius,1.0,0.0,Corymbia ferruginea,1.0,0.0,Grevillia sp.,3.0,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7.0,0.0,Bauhinia cunninghamii,2.0,0.0,E. chlorostachys,19.0,1.0,Terminalia canescens,1.0,0.0,Brachychiton diversifolius,2.0,0.0,Corymbia ferruginea,2.0,0.0,Grevillia sp.,5.0,0.0,,,,,,,,,,,,,Corymbia dichromphloia,3.0,0.0,Bauhinia cunninghamii,1.0,0.0,E. chlorostachys,13.0,1.0,Terminalia canescens,1.0,0.0,Brachychiton diversifolius,2.0,0.0,Corymbia ferruginea,3.0,0.0,Grevillia sp.,2.0,0.0,species 1,1.0,0.0,Erythroxylum ellipticum,1.0,0.0,,,,,,,Corymbia dichromphloia,1.0,0.0,E. chlorostachys,17.0,5.0,Corymbia ferruginea,5.0,0.0,Erythroxylum ellipticum,1.0,0.0,P. pubescens,1.0,0.0,,,,,,,,,,,,,,,,,,,amg01.2012_1ha,amg01.2012_1ha,7.490158081054687,17.519630432128903,13.008879089355473,13.038623809814453,3.0109096506709645,10.86387825012207,13.038623809814453,15.803258895874025,17.102418136596686,17.436187973022456
0,28,amg05,2012-06-21 00:00:00,20120621,2012,2012-06-21,53.0,403065.0,8149954.0,,,GDA94,0.75,7.0,,,,ok,Acacia shirleyi,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,23.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,12.0,7.0,Macropteranthes kekwickii,0.0,2.0,Eucalyptus microtheca,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,11.0,7.0,Macropteranthes kekwickii,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,14.0,4.0,Macropteranthes kekwickii,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,17.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amg05.2012_1ha,amg05.2012_1ha,8.855865478515625,16.271049499511722,11.170801162719727,10.70981216430664,1.8309491930690045,9.648212432861328,10.70981216430664,12.317781448364258,13.529782867431637,15.722796173095704
0,29,amg06,2012-06-21 00:00:00,20120621,2012,2012-06-21,53.0,402749.0,8154049.0,,,GDA94,0.1,7.0,,,,ok,Corymbia dichromphloia,9.0,0.0,Corymbia ferruginea,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7.0,2.0,Corymbia ferruginea,4.0,2.0,Brachychiton sp.,1.0,0.0,Acacia sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,16.0,0.0,Corymbia ferruginea,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,8.0,0.0,Corymbia ferruginea,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,8.0,0.0,Corymbia ferruginea,6.0,0.0,Brachychiton sp.,1.0,0.0,Acacia sp.,12.0,0.0,Grevillia sp.,2.0,0.0,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7.0,0.0,Corymbia ferruginea,8.0,3.0,Acacia sp.,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7.0,0.0,Corymbia ferruginea,8.0,0.0,Acacia sp.,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,amg06.2012_1ha,amg06.2012_1ha,8.267646789550781,15.495010375976562,11.516914749145512,11.634994506835938,1.713882459842588,10.572006225585938,11.634994506835938,12.287296295166016,14.128240203857414,15.22165634155273
0,30,amg08,2012-06-22 00:00:00,20120622,2012,2012-06-22,53.0,402776.0,8167869.0,,,GDA94,0.75,7.0,,,,ok,Acacia shirleyi,20.0,1.0,Macropteranthes kekwickii,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,32.0,5.0,Macropteranthes kekwickii,1.0,1.0,Terminalia volucris,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,12.0,2.0,Macropteranthes kekwickii,15.0,9.0,Terminalia volucris,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,12.0,3.0,Macropteranthes kekwickii,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,22.0,3.0,Macropteranthes kekwickii,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,18.0,5.0,Macropteranthes kekwickii,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,23.0,3.0,Macropteranthes kekwickii,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,amg08.2012_1ha,amg08.2012_1ha,11.45257568359375,18.281776428222656,13.366728591918942,12.718643188476562,1.6256710767043443,12.394405364990234,12.718643188476562,14.085678100585938,17.011294937133783,18.027680130004878
0,32,amg10,2012-06-22 00:00:00,20120622,2012,2012-06-22,53.0,413269.0,8184921.0,,,GDA94,0.1,7.0,,,,ok,Eucalyptus pruinosa,1.0,0.0,Eucalyptus chlorophylla,11.0,0.0,E. chlorostachys,4.0,0.0,Terminalia canescens,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,3.0,0.0,Eucalyptus chlorophylla,12.0,8.0,E. chlorostachys,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,1.0,0.0,Eucalyptus chlorophylla,13.0,2.0,E. chlorostachys,6.0,0.0,Macropteranthes kekwickii,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,17.0,1.0,E. chlorostachys,2.0,0.0,Brachychiton sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,11.0,0.0,Eucalyptus chlorophylla,4.0,0.0,E. chlorostachys,4.0,1.0,Brachychiton sp.,1.0,0.0,Terminalia canescens,1.0,0.0,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,7.0,0.0,Eucalyptus chlorophylla,7.0,0.0,E. chlorostachys,7.0,1.0,Acacia sp.,2.0,0.0,Dodonaea physocarpa,2.0,0.0,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,9.0,0.0,E. chlorostachys,4.0,1.0,dead,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,amg10.2012_1ha,amg10.2012_1ha,7.7649383544921875,13.41241455078125,10.284504699707028,10.235244750976562,1.5242878923015797,9.316118240356444,10.235244750976562,11.071826934814453,12.809619140625005,13.29185546875
0,36,ant06,2012-06-25 00:00:00,20120625,2012,2012-06-25,53.0,516122.0,7980344.0,,,WGS84,0.25,7.0,,,,Hight not recorded,Eucalyptus microtheca,3.0,0.0,Acacia stenophylla,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,8.0,1.0,Acacia stenophylla,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,12.0,0.0,Acacia stenophylla,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia stenophylla,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,8.0,1.0,Acacia stenophylla,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,1.0,0.0,Acacia stenophylla,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ant06.2012_1ha,ant06.2012_1ha,,,,,,,,,,
0,39,ant03,2012-06-24 00:00:00,20120624,2012,2012-06-24,53.0,506133.0,7983236.0,,,GDA94,0.1,7.0,,,,Hight not recoprded,Eucalyptus microtheca,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ant03.2012_1ha,ant03.2012_1ha,,,,,,,,,,
0,48,barkely07,2011-10-27 00:00:00,20111027,2011,2011-10-27,53.0,564473.0,8000269.0,,,GDA94,0.25,7.0,7.0,0.6,Tussock grassland with scattered trees,,Excoecaria parvifolia,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barkely07.2011_1ha,barkely07.2011_1ha,6.167762756347656,9.039443969726562,7.296760082244872,7.1063270568847665,0.8667317106705779,6.664752960205077,7.1063270568847665,7.852092742919923,8.800788879394531,8.991712951660162
0,50,wh02,2012-07-24 00:00:00,20120724,2012,2012-07-24,52.0,677559.0,7983083.0,,,WGS84,0.1,7.0,,,Triodia hummock grass with some scattered trees and midstory (recovering from fire),burnt,Eucalyptus pruinosa,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia terminalis,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus brevifolia,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,0.0,2.0,Eucalyptus brevifolia,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh02.2012_1ha,wh02.2012_1ha,,,,,,,,,,
0,55,wh07,2012-07-25 00:00:00,20120725,2012,2012-07-25,52.0,696722.0,8038647.0,,,WGS84,0.1,7.0,2.0,0.5,Native grassland Heavily grazed (sparse multi-stemmed shrubs) ,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia nilotoca,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia nilotoca,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia nilotoca,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh07.2012_1ha,wh07.2012_1ha,3.063179016113281,7.2352294921875,5.134917259216309,4.9054527282714835,1.2481251379887413,4.127857208251953,4.9054527282714835,6.189260482788086,7.0782508850097665,7.203833770751955
0,64,vrd16,2012-07-27 00:00:00,20120727,2012,2012-07-27,52.0,700109.0,8089133.0,,,WGS84,0.1,7.0,5.0,0.5,Clossed tussok grassland with scattered low trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vrd16.2012_1ha,vrd16.2012_1ha,5.068687438964844,6.482589721679688,5.677123641967768,5.6616249084472665,0.3670240177587231,5.42512321472168,5.6616249084472665,5.732990264892577,6.4816619873046895,6.482404174804685
0,68,vrd20,2012-07-28 00:00:00,20120728,2012,2012-07-28,52.0,702062.0,8108163.0,,,WGS84,0.1,7.0,5.0,0.3,Annual/tussok grassland with scattered low trees,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,Corymbia terminalis,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vrd20.2012_1ha,vrd20.2012_1ha,5.389518737792969,9.440872192382812,7.278350353240968,7.081565856933594,0.9871181121247748,6.7901611328125,7.081565856933594,7.637296676635742,9.236034393310547,9.399904632568363
0,70,vrd22,2012-07-28 00:00:00,20120728,2012,2012-07-28,52.0,722900.0,8115107.0,,,WGS84,0.1,7.0,5.0,0.6,Tall tussok grassland with scattered low trees,,Terminalia arostrata,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vrd22.2012_1ha,vrd22.2012_1ha,4.3300323486328125,8.357215881347656,6.446166229248049,6.64691162109375,0.8568263046807199,5.781269073486327,6.64691162109375,7.009815216064452,7.65457305908204,8.216687316894536
