site_clean,AGB,b1_wfp_dry_mean,b1_ccw_dry_mean,b1_hsd_mean,b1_hmc_mean,b1_hcv_mean,b1_h99_mean,b1_h25_mean,b1_dp1fm_mean,b1_dp1fm_dry_mean,b2_dp1fm_mean,b2_dp1fm_dry_mean,b3_dp1fm_mean,b3_dp1fm_dry_mean,b1_dbifm_mean,b2_dbifm_mean,b3_dbifm_mean,b4_dbifm_mean,b5_dbifm_mean,b6_dbifm_mean,dbifmdry_GNDVI,dbifman_GNDVI,dbifmdry_MSR,dbifman_MSR,dbifmdry_NBR,dbifman_NBR,dbifmdry_NDVI,dbifman_NDVI,dbifmdry_CVI,dbifman_CVI,dbifmdry_GDVI,dbifman_GDVI,dbifmdry_GSAVI,dbifman_GSAVI,dbifmdry_NDGI,dbifman_NDGI,dbifmdry_RI,dbifman_RI,dbifmdry_NDII,dbifman_NDII,dbifmdry_MSAVI,dbifman_MSAVI,dbifmdry_SAVI,dbifman_SAVI,dbifmdry_r42,dbifman_r42,dbifmdry_r32,dbifman_r32,dbifmdry_r43,dbifman_r43,dbifmdry_r52,dbifman_r52,dbifmdry_r53,dbifman_r53,dbifmdry_r54,dbifman_r54,dbifmdry_r62,dbifman_r62,dbifmdry_r63,dbifman_r63,dbifmdry_r64,dbifman_r64,dbifmdry_r65,dbifman_r65,dr_dsii,dr_wsum,dr_wsii,tx_dsum,tx_dsii,tx_wsum,tx_wsii,rx_wsum,rx_wsii,rx_dsii,ma_ammd,ma_asum,ma_dsii,ma_dmmd
NTAGFU0005.2012,1549.086,33.583333333333336,53.5,103.1967233022054,105.78618812561037,154.5725517272949,111.97375106811523,103.41931978861491,18.58333333333333,19.75,36.083333333333336,36.5,43.75,42.41666666666666,419.1666666666666,699.75,912.5833333333336,2002.6666666666663,2204.75,1488.333333333333,4874816,4824139,4948288,4816124,1552760,1472779,3816689,3740563,37696525,37368405,1324000,1303000,2573872,2537982,-1300000,-1322160,1300000,1322160,-371783,-480266,1827659,1783954,2112569,2065959,29009095,28619745,12982288,13041562,22345133,21945028,31249402,31507681,24070796,24159437,10772277,11009071,21215893,21269501,16342183,16309013,7313531,7431758,6789216,6750576,0.0001110863595386,3693.099999999988,0.0248825401067733,4353.4000000000015,0.0926448330283165,7897.400000000002,0.0420644767582416,6486.900000000002,0.1355963498353958,0.1594175100326538,0.95,642.6000000000005,0.2966507077217102,0.25
NTAGFU0006.2012,0.0,16.333333333333332,27.88888888888889,103.16355895996094,105.54091474745007,156.55786641438803,111.37971920437283,102.92164611816406,38.77777777777778,14.22222222222222,11.888888888888893,23.11111111111111,47.66666666666666,61.33333333333334,428.6666666666666,869.3333333333336,1481.333333333333,2234.777777777778,2787.333333333333,2138.333333333333,4753980,4398969,3823767,2281858,1422969,219579,3129427,2026918,41390973,43812564,1314000,1365000,2538640,2526842,-1908482,-2604255,1908482,2604255,-638200,-1101374,1551968,1129022,1798668,1296041,28133333,25706800,14723372,17039877,19107942,15086259,31969349,32062883,21713334,18816382,11363513,12472530,21117241,24597393,14342667,14435194,7506128,9568438,6605465,7671610,2.148605381080415e-05,3630.299999999991,0.0250211991369724,4345.700000000002,0.0940147712826728,7930.799999999997,0.0436057597398757,6259.999999999997,0.1332177072763443,0.1678126007318496,0.95,583.6,0.3227678537368774,0.2
NTAGFU0007.2012,0.0,5.0,9.0,101.72945658365887,102.89575619167748,146.4678700764974,106.21990966796876,101.56942887739702,24.33333333333333,23.66666666666667,8.888888888888891,8.777777777777779,65.1111111111111,66.33333333333333,468.4444444444445,796.1111111111113,1110.7777777777776,1766.2222222222226,2078.8888888888887,1437.0,3928708,3786105,2782773,2613449,1178099,1027162,2406965,2280946,32211381,30937666,1025000,970000,2020633,1924094,-1680672,-1647429,1680672,1647429,-778990,-811655,1127405,1051216,1333712,1249365,22930624,22185625,14028031,13952547,16346288,15900770,26794674,26113050,19100809,18715615,11685105,11770257,18098108,18050244,12901389,12936881,7892549,8136009,6754368,6912346,2.148605381080415e-05,3630.299999999991,0.0250211991369724,4345.700000000002,0.0940147712826728,7930.799999999997,0.0436057597398757,6259.999999999997,0.1332177072763443,0.1678126007318496,0.95,583.6,0.3227678537368774,0.2
NTAGFU0008.2012,0.0,2.6666666666666665,2.625,101.42681121826172,102.21895005967882,159.94991895887586,106.04261016845705,101.24364301893446,25.222222222222207,19.88888888888889,6.5555555555555545,5.777777777777778,66.77777777777777,72.77777777777777,432.1111111111112,802.7777777777776,1269.5555555555557,1915.555555555556,2697.666666666666,1987.2222222222224,4059713,4096430,2621988,2284389,-297030,-184521,2287360,2028894,35162725,37781715,1047000,1113000,2072173,2163405,-1953782,-2254949,1953782,2254949,-1820438,-1695577,1075669,1007613,1273425,1184018,23657971,23861592,14847826,15814533,15933626,15088395,34178261,33604152,23019034,21248906,14446827,14082947,25107246,24754325,16909712,15652897,10612595,10374130,7345970,7366448,2.148605381080415e-05,3630.299999999991,0.0250211991369724,4345.700000000002,0.0940147712826728,7930.799999999997,0.0436057597398757,6259.999999999997,0.1332177072763443,0.1678126007318496,0.95,583.6,0.3227678537368774,0.2
NTAGFU0009.2012,1947.5866670000007,4.533333333333333,8.8,102.02854490280151,103.68828868865968,153.90877819061282,108.32984638214111,102.25989389419556,46.0,20.25,10.3125,11.3125,42.25,67.0625,614.4375,1246.0625,1921.5,2871.6875,3656.6875,3018.3125,4217623,3947049,3090187,2225114,274190,-249618,2629526,1982471,35281702,35524214,1345000,1625000,2463671,2673577,-1786192,-2131355,1786192,2131355,-1358872,-1202696,1442115,1317174,1648428,1455270,24579325,23046095,14349004,15420575,17129638,14945030,32308630,29345940,22516287,19030380,13144637,12733584,23264463,24222802,16213294,15708106,9465053,10510588,7200696,8254226,4.394813004182652e-05,3676.099999999993,0.0250562503933906,4369.600000000003,0.0934822410345077,7951.599999999998,0.0429670922458171,6277.200000000003,0.135183110833168,0.1679517924785614,0.8750000000000001,596.4000000000004,0.3236203193664551,0.2
NTAGFU0010.2012,1293.6,9.0,15.888888888888893,101.98960283067493,103.78963809543184,152.23519727918836,107.690190633138,102.02053833007812,19.88888888888889,17.555555555555557,17.444444444444443,16.77777777777778,61.33333333333334,64.1111111111111,487.22222222222223,858.8888888888887,1169.111111111111,2067.444444444445,2424.555555555556,1656.666666666667,4120449,4133333,3294592,3297285,1267988,1103948,2773161,2775031,32633129,32823162,1211000,1209000,2288072,2288328,-1521099,-1534287,1521099,1534287,-717960,-794923,1414998,1411694,1638380,1635503,24022116,24071151,13595217,13611902,17669536,17683900,27729201,28228978,20396292,20738453,11543197,11727307,18611290,19288486,13689587,14170310,7747565,8013113,6711802,6832867,0.000373478163965,3703.999999999984,0.0242398455739021,4446.2,0.0846205726265907,7818.299999999997,0.0405714809894561,7466.300000000001,0.1316965222358703,0.1083566322922706,2.6,873.1999999999997,0.358347475528717,0.5
NTAGFU0011.2012,2540.846,5.0,9.333333333333334,101.2233543395996,102.19838841756184,148.91436258951822,105.70606231689452,101.26157697041828,5.166666666666667,4.666666666666667,14.75,12.666666666666664,78.75,81.25,424.5,631.9166666666665,816.75,1547.166666666667,2482.25,1687.666666666667,4144015,4205693,3815292,3768926,-432258,-432900,3123894,3093525,30565072,31704562,869000,916000,1836692,1914182,-1171819,-1278507,1171819,1278507,-2392921,-2320675,1200076,1232566,1458678,1489203,24163952,24483714,12664224,12924964,19080484,18942965,39360749,39281287,31080270,30391797,16289036,16043844,26335505,26707108,20795199,20663198,10898674,10908112,6690804,6798939,0.0003871458175126,3705.2999999999847,0.0242381170392036,4433.1,0.084888681769371,7807.500000000004,0.040733728557825,7455.299999999997,0.1313236355781555,0.1086066663265228,2.6,864.6999999999997,0.3564102649688721,0.4
NTAGFU0012.2012,1796.6666670000006,14.666666666666664,25.66666666666667,102.46094195048016,104.02543830871582,160.750124613444,109.93789672851562,101.96377690633136,9.25,8.25,24.41666666666667,22.16666666666667,65.16666666666667,68.25,406.5,625.4166666666665,784.1666666666665,1627.25,2161.4166666666665,1415.75,4343891,4449378,4137676,4405746,587842,696910,3330530,3496474,32176768,32654541,960000,1002000,1997226,2072532,-1184767,-1128460,1184767,1128460,-1530858,-1409715,1338837,1425353,1610192,1706247,25339728,26018654,12688516,12538308,19970601,20751328,34501732,34559627,27191306,27563231,13615668,13282634,22539302,22636909,17763545,18054198,8894848,8700261,6532803,6550102,0.000394713220885,3699.5999999999863,0.024193350225687,4426.200000000002,0.0850029364228248,7802.900000000002,0.0408566035330295,7437.900000000002,0.1309163719415664,0.1091478243470192,2.6,858.0999999999997,0.3464788794517517,0.4
NTAGFU0013.2012,2357.226667000001,15.75,27.5,102.22584279378256,103.69979476928712,155.9466298421224,109.23991839090984,102.07629839579263,7.25,6.166666666666668,26.5,23.25,64.83333333333333,69.16666666666667,410.58333333333326,646.5833333333335,799.75,1702.0,2281.833333333333,1538.833333333333,4511710,4497445,4344491,4595077,249688,506173,3459016,3610556,33977611,32586769,1021000,1056000,2108633,2155689,-1247357,-1058824,1247357,1058824,-1679757,-1453678,1423172,1519645,1701613,1805759,26454643,26322980,12858293,12368862,20573993,21281651,37122920,35290630,28870799,28531833,14032667,13406776,25157005,23799459,19564809,19241430,9509486,9041324,6776677,6743846,0.000394713220885,3699.5999999999863,0.024193350225687,4426.200000000002,0.0850029364228248,7802.900000000002,0.0408566035330295,7437.900000000002,0.1309163719415664,0.1091478243470192,2.6,858.0999999999997,0.3464788794517517,0.4
NTAGFU0014.2012,2608.76,7.0,13.0,101.24986902872725,102.38858731587727,147.8364067077637,105.6361306508382,101.39014752705891,9.666666666666666,8.916666666666666,14.25,14.5,74.58333333333333,74.91666666666667,582.0833333333334,850.75,1113.0833333333333,2054.0,3043.333333333333,2116.75,3979979,4146006,3380773,3584781,-248013,-148681,2832700,2971266,30119979,31641550,1153000,1204000,2190072,2284919,-1293060,-1339786,1293060,1339786,-1999210,-1940357,1415131,1491724,1644188,1728297,23205728,24143403,12958473,13083554,17907765,18453245,34791408,35772358,26848387,27341469,14992595,14816618,24384726,24880987,18817592,19016995,10508063,10305501,7008835,6955367,0.0003939777961932,3723.3999999999846,0.0242329258471727,4432.4000000000015,0.0841711014509201,7776.800000000002,0.0409533120691776,7635.199999999996,0.1300630122423172,0.1058048084378242,2.7750000000000004,899.0999999999997,0.3449035882949829,0.5
