site_clean,AGB,b1_wfp_dry_mean,b1_ccw_dry_mean,b1_hsd_mean,b1_hmc_mean,b1_hcv_mean,b1_h99_mean,b1_h25_mean,b1_dp1fm_mean,b1_dp1fm_dry_mean,b2_dp1fm_mean,b2_dp1fm_dry_mean,b3_dp1fm_mean,b3_dp1fm_dry_mean,b1_dbifm_mean,b2_dbifm_mean,b3_dbifm_mean,b4_dbifm_mean,b5_dbifm_mean,b6_dbifm_mean,dbifmdry_GNDVI,dbifman_GNDVI,dbifmdry_MSR,dbifman_MSR,dbifmdry_NBR,dbifman_NBR,dbifmdry_NDVI,dbifman_NDVI,dbifmdry_CVI,dbifman_CVI,dbifmdry_GDVI,dbifman_GDVI,dbifmdry_GSAVI,dbifman_GSAVI,dbifmdry_NDGI,dbifman_NDGI,dbifmdry_RI,dbifman_RI,dbifmdry_NDII,dbifman_NDII,dbifmdry_MSAVI,dbifman_MSAVI,dbifmdry_SAVI,dbifman_SAVI,dbifmdry_r42,dbifman_r42,dbifmdry_r32,dbifman_r32,dbifmdry_r43,dbifman_r43,dbifmdry_r52,dbifman_r52,dbifmdry_r53,dbifman_r53,dbifmdry_r54,dbifman_r54,dbifmdry_r62,dbifman_r62,dbifmdry_r63,dbifman_r63,dbifmdry_r64,dbifman_r64,dbifmdry_r65,dbifman_r65,dr_dsii,dr_wsum,dr_wsii,tx_dsum,tx_dsii,tx_wsum,tx_wsii,rx_wsum,rx_wsii,rx_dsii,ma_ammd,ma_asum,ma_dsii,ma_dmmd
NTAGFU0015.2012,1920.996,6.916666666666668,12.333333333333336,101.23822784423828,102.17049344380696,150.79283142089844,106.09393056233722,101.26191075642905,7.0,6.166666666666668,14.666666666666664,14.5,76.91666666666667,77.83333333333333,450.9166666666666,704.6666666666665,916.3333333333336,1689.083333333333,2612.1666666666665,1801.166666666667,4140821,4116172,3615602,3578978,-315729,-320917,2991914,2967370,31419706,31216183,988000,985000,2006499,1998512,-1311374,-1308642,1311374,1308642,-2137031,-2146013,1285522,1277649,1534158,1524655,24130823,23969962,13013225,13003784,18543307,18433067,37244132,37069536,28620216,28506730,15434257,15464996,25698797,25560549,19748215,19656239,10649780,10663575,6900093,6895298,0.0003939777961932,3723.3999999999846,0.0242329258471727,4432.4000000000015,0.0841711014509201,7776.800000000002,0.0409533120691776,7635.199999999996,0.1300630122423172,0.1058048084378242,2.7750000000000004,899.0999999999997,0.3449035882949829,0.5
NTAGFU0016.2012,2833.21325,10.22222222222222,18.33333333333333,101.90155622694228,103.22211625840929,157.57576327853732,107.3402565850152,101.76805114746094,17.444444444444443,14.333333333333336,16.77777777777778,13.22222222222222,64.22222222222223,70.55555555555556,503.5555555555555,877.6666666666664,1294.666666666667,2340.777777777778,3125.333333333333,2204.1111111111118,4468085,4547715,3120667,3447476,244821,299296,2651163,2878371,39733728,39368688,1512000,1463000,2705153,2670683,-2061069,-1920774,2061069,1920774,-1386348,-1436414,1535919,1599303,1735062,1817234,26150012,26670465,15193449,14751234,17211373,18080158,34572751,35609571,22755038,24140062,13220931,13351687,24903869,25113305,16391189,17024545,9523464,9416148,7203323,7052403,0.000451208645245,3906.599999999989,0.0244439225643873,4435.499999999999,0.078683353960514,7627.200000000003,0.0401457957923412,8667.099999999999,0.1239564418792724,0.1041062027215957,3.825,1203.3999999999992,0.3608635067939758,1.6
NTAGFU0017.2012,0.0,13.4375,23.5625,101.80521583557127,103.05139923095705,155.87962055206302,107.17334032058716,101.66284275054932,17.4375,16.875,13.8125,10.5625,67.25,71.1875,484.8125,805.5625,1149.1875,2021.75,3005.5625,2255.3125,4261603,4302902,3126403,3262431,-563053,-547240,2655226,2750789,35847931,35833942,1212000,1216000,2317695,2330693,-1811340,-1760491,1811340,1760491,-2006307,-1957819,1338291,1377026,1555759,1600979,24829750,25097370,14419619,14265653,17219422,17592865,37302778,37310109,25869461,26153804,15023421,14866143,27799373,27996741,19278854,19625279,11195994,11155249,7452360,7503795,0.0004534234467428,3876.9999999999854,0.0243580881506204,4407.6,0.0811598151922226,7635.599999999998,0.0403635613620281,8410.200000000003,0.1266489326953888,0.0992795079946518,3.5250000000000004,1109.3000000000006,0.3588999211788177,1.4
NTAGFU0018.2012,0.0,18.916666666666668,31.33333333333333,102.58937708536786,104.12729454040527,158.6424128214518,110.30483690897624,102.35226631164552,9.75,9.5,23.83333333333333,25.0,64.66666666666667,63.75,384.5,582.3333333333334,762.3333333333335,1577.583333333333,2042.25,1275.25,4648019,4608615,4619901,4385944,1133948,1058906,3625325,3484395,35046104,35476494,997000,995000,2093072,2084788,-1229947,-1339286,1229947,1339286,-1211189,-1284885,1427262,1384994,1716397,1665758,27345607,27090727,12789214,13091013,21381773,20694141,34875326,35070120,27269327,26789462,12753539,12945433,21770078,21898970,17022217,16728247,7961088,8083567,6242258,6244338,0.0004180454998277,3906.299999999987,0.0244065951555967,4439.199999999999,0.079302579164505,7650.799999999997,0.0404439494013786,8523.999999999996,0.1244352087378502,0.0995445325970649,3.8,1150.4999999999995,0.3555555641651153,1.4
NTAGFU0019.2012,2389.599333,21.5,36.66666666666666,102.8738072713216,104.8173999786377,160.93201700846353,111.07817713419595,102.53324445088704,15.666666666666664,13.916666666666664,28.0,27.83333333333333,54.91666666666666,56.75,323.58333333333326,568.75,835.8333333333336,1803.5,2262.5,1629.25,5155497,5208773,4751612,4694494,478498,506993,3702970,3669447,44974151,46664383,1177000,1235000,2424138,2513228,-1795252,-1903065,1795252,1903065,-1306533,-1129151,1573170,1614473,1863787,1901021,31295766,31709890,14379991,14695971,21763412,21577268,40687057,39780220,28294216,27068794,13000818,12545051,28428507,28646154,19769489,19492522,9083819,9033823,6987113,7201105,0.0004529226571321,3913.599999999986,0.0244277566671371,4426.299999999998,0.0789282247424125,7622.000000000003,0.040375605225563,8645.299999999996,0.1235419437289238,0.1022329032421112,3.75,1184.5999999999997,0.3554126620292664,1.5
NTAGFU0020.2012,7711.293333,41.1875,62.6875,102.82041263580322,105.30275011062622,152.6671848297119,110.9344482421875,103.20773206438336,7.5625,6.9375,30.875,29.375,60.0625,62.25,392.9375,688.6875,908.625,2003.375,2582.0,1688.5625,4904130,4886659,4686333,4852431,830654,853427,3664638,3761594,39659735,38422881,1330000,1315000,2586878,2564686,-1511057,-1378446,1511057,1378446,-1303787,-1262814,1766056,1793201,2043227,2076223,29243082,29089754,13562127,13193575,21562312,22048425,38015916,37491605,28030940,28416563,12999969,12888251,24757642,24518559,18254984,18583712,8466153,8428589,6512441,6539746,1.9044166037929244e-05,3847.599999999986,0.024356871843338,4685.5,0.0764059349894523,7894.599999999998,0.0478301607072353,8232.599999999993,0.1239844411611557,0.1147268041968345,3.575,1086.8999999999992,0.2939325869083404,0.7000000000000001
NTAGFU0021.2012,3915.45,2.7777777777777777,5.888888888888888,101.62148623996308,102.75233968098956,155.82642788357202,107.11788770887588,101.5425666809082,35.111111111111114,37.55555555555557,9.333333333333334,6.888888888888888,54.0,53.66666666666666,501.4444444444445,949.5555555555557,1435.333333333333,2212.222222222222,2964.666666666666,2350.6666666666665,3942247,3995571,2250207,2415569,-370692,-302499,2002162,2130518,35298451,35245575,1256000,1263000,2301490,2321407,-2106339,-2038591,2106339,2038591,-1508316,-1452859,1111758,1172717,1277439,1347866,23007597,23297449,15340700,15115844,14997749,15412603,31180939,31221624,20325630,20654900,13552454,13401306,24785912,24755441,16156963,16377148,10772925,10625816,7949059,7928941,1.4405387446458914e-05,3829.199999999986,0.0243761911988258,4729.699999999999,0.0753620713949203,7931.4,0.0477019026875495,8255.500000000002,0.1232321336865425,0.1148481145501136,3.7000000000000006,1102.3000000000004,0.2978115081787109,0.7000000000000001
NTAGFU0022.2012,2215.29,2.333333333333333,4.888888888888889,101.16097174750428,102.00809393988716,155.79942660861545,105.36157904730902,101.1717283460829,17.555555555555557,5.888888888888888,7.888888888888887,8.888888888888891,72.8888888888889,83.66666666666667,409.0,674.2222222222222,952.5555555555557,1643.666666666667,2694.777777777778,1872.666666666667,4131898,4182132,3287946,3137124,-557554,-651494,2768545,2662813,32846562,34431403,921000,969000,1911053,1986470,-1539457,-1709717,1539457,1709717,-2519592,-2423334,1137112,1137598,1372037,1364714,24072314,24378708,13627567,14128214,17664425,17255337,40283483,39968688,29560289,28289980,16734363,16394917,26917332,27775214,19752118,19659396,11181863,11393227,6681977,6949243,1.9044166037929244e-05,3847.599999999986,0.024356871843338,4685.5,0.0764059349894523,7894.599999999998,0.0478301607072353,8232.599999999993,0.1239844411611557,0.1147268041968345,3.575,1086.8999999999992,0.2939325869083404,0.7000000000000001
NTAGFU0023.2012,0.0,29.5625,47.25,102.84429216384888,104.62325716018675,161.09301567077637,110.50320386886597,102.35816860198976,49.1875,49.625,15.5625,14.375,33.8125,34.4375,677.9375,1153.375,1679.875,2567.875,3095.4375,2526.1875,3798573,3801075,2272159,2364814,77220,80503,2019341,2091380,32873281,32420369,1437000,1414000,2454173,2432339,-1927047,-1857345,1927047,1857345,-929626,-932533,1256096,1282138,1408006,1440623,22246898,22264008,14772860,14564864,15059303,15286108,26805134,26838084,18144850,18426594,12048931,12054471,21902860,21902569,14826418,15037949,9845355,9837658,8171144,8161003,5.127094118506648e-05,3825.099999999986,0.0241517797112464,4685.500000000002,0.0779425874352455,7926.199999999996,0.0473727285861969,8025.500000000001,0.1252258419990539,0.1162886768579483,3.5000000000000004,1053.8999999999996,0.309009462594986,0.5
NTAGFU0024.2012,689.92,10.5,18.58333333333333,102.77431996663412,104.35874938964844,164.83154932657874,110.3226203918457,102.24814376831054,32.5,31.25,13.333333333333336,10.916666666666664,52.75,56.16666666666666,496.5,903.5833333333336,1432.75,2274.6666666666665,2576.333333333333,1880.083333333333,4347961,4315392,2608153,2601543,1028708,948483,2276964,2271991,40538459,39935394,1397000,1371000,2551443,2514981,-2298558,-2265525,2298558,2265525,-557149,-622680,1283121,1268080,1464877,1450724,25363103,25173845,15957271,15856313,15894386,15876229,28358702,28512404,17771649,17981737,11181085,11326202,20640932,20806972,12935126,13122201,8138173,8265314,7278518,7297516,4.3457719584694125e-05,3865.299999999987,0.0241849813610315,4623.8,0.0787577331066131,7852.8,0.0477500297129154,8134.599999999998,0.1248634606599807,0.1153727620840072,3.475,1062.1999999999994,0.3000944256782532,0.6000000000000001
NTAGFU0025.2012,7203.196,28.66666666666667,46.77777777777778,102.80164421929254,104.40340762668184,165.05241054958768,110.86299726698134,102.26012081570092,7.333333333333332,6.888888888888888,42.333333333333336,41.55555555555557,49.0,49.88888888888889,303.4444444444445,571.0,744.8888888888887,1882.0,2165.222222222222,1325.5555555555557,5397017,5344476,5990292,5904622,1804697,1736826,4377117,4333587,43760447,42945764,1339000,1311000,2684801,2638535,-1335357,-1315589,1335357,1315589,-644134,-699283,1961455,1921967,2278307,2238395,33400039,32959720,13063921,13045340,25566627,25265513,38002720,37919829,29089827,29067721,11378047,11504900,23188265,23214633,17749851,17795346,6942586,7043335,6101738,6122030,4.956127304467373e-05,3841.199999999986,0.0242118630558252,4646.799999999998,0.0782818272709846,7882.400000000005,0.0475924648344516,8084.0,0.12530218064785,0.1155783385038376,3.4,1047.1,0.3151219487190246,0.55
NTAGFU0026.2012,3615.8325,5.416666666666668,10.333333333333334,101.70576032002764,102.54553985595705,157.68915176391604,106.44648933410645,101.23596890767416,6.166666666666668,4.0,13.833333333333336,13.0,78.83333333333333,81.5,418.5,688.75,1045.0,1951.583333333333,2935.416666666666,1984.833333333333,4887858,4785904,3757987,3663768,-69641,-83863,3086336,3024032,44807299,43072163,1264000,1263000,2499341,2480037,-2121573,-2060012,2121573,2060012,-2084704,-2013917,1466463,1455875,1714933,1699600,29100642,28335148,15377252,15172414,18924476,18675439,44428769,42619480,28892529,28090112,15267281,15041206,29510014,28817907,19190695,18993620,10140674,10170374,6642096,6761675,1.9533015347406035e-06,3990.599999999989,0.0239654332399368,4733.9,0.0709520727396011,7861.899999999999,0.053444005548954,8702.0,0.1226450428366661,0.1069099977612495,4.075,1227.0999999999997,0.2593333423137665,2.0
NTAGFU0027.2012,6044.738,6.333333333333332,11.666666666666664,101.5501594543457,102.52482891082764,158.47969627380368,106.16098499298096,101.23275672064888,4.333333333333333,3.888888888888889,15.888888888888893,14.333333333333336,78.22222222222223,80.44444444444444,359.22222222222223,593.2222222222222,887.1111111111113,1780.4444444444448,2595.8888888888887,1709.4444444444448,4800679,5002107,3653997,4166031,-71124,203497,3017531,3348331,43466066,44898748,1132000,1187000,2307692,2414892,-2085216,-1986486,2085216,1986486,-2068182,-1862857,1330665,1478264,1579872,1747098,28451823,30013111,15255653,14954111,18650020,20070140,43271542,43759131,28364268,29262275,15208706,14580005,28844979,28816258,18907731,19269790,10138183,9601223,6666039,6585199,0.0,4079.7999999999897,0.0237597078084945,4730.200000000002,0.0689695999026298,7838.700000000003,0.0533105880022048,8875.900000000001,0.1221863999962806,0.1040745601058006,4.3,1276.0999999999997,0.2546587586402893,1.9
NTAGFU0028.2012,5606.438443999999,17.916666666666668,30.41666666666667,102.93720817565918,104.9446798960368,161.49839401245114,110.7989673614502,102.55857849121094,12.166666666666664,10.916666666666664,28.91666666666667,24.5,57.41666666666666,62.91666666666666,449.9166666666666,760.1666666666665,1108.0833333333333,2149.5,2670.916666666666,1819.75,4885037,4774837,3990030,3926703,932710,831653,3236867,3196193,43269074,41223892,1381000,1389000,2646608,2634341,-1957731,-1862955,1957731,1862955,-1118615,-1081137,1637116,1645528,1887150,1891123,29096566,28276694,14875547,14576847,19559997,19398361,36427748,35135935,24488341,24103933,12519604,12425758,24141507,23938829,16228988,16422501,8297030,8465922,6627230,6813204,0.0,4118.099999999989,0.0237063709646463,4709.199999999999,0.0689798668026924,7812.199999999998,0.0535535998642444,8936.599999999997,0.1228143647313118,0.1029753684997558,4.4,1295.2999999999988,0.2593446671962738,2.1
NTAGFU0029.2012,3668.793333,2.7,4.666666666666667,101.4373607635498,102.52545992533364,155.9141782124837,106.12165387471516,101.26734924316406,19.33333333333333,21.0,13.5,12.416666666666664,65.83333333333333,65.0,440.1666666666666,742.5,1154.4166666666667,1941.083333333333,2830.083333333333,2165.5,4483271,4468878,2947664,2969101,-562016,-545543,2527331,2542811,41113767,40683990,1206000,1199000,2352406,2340882,-2205882,-2172996,2205882,2172996,-1856187,-1863341,1242327,1245609,1453761,1458308,26226584,26142536,15650028,15547699,16758171,16814408,38174986,38115600,24392919,24515267,14555836,14579917,29355020,29164983,18757167,18758392,11192849,11156141,7689595,7651718,0.0,4117.399999999991,0.0236310586333274,4738.199999999998,0.0680511593818664,7844.200000000003,0.0535937398672103,8933.600000000006,0.1227916404604911,0.1043240875005722,4.425000000000002,1314.1999999999996,0.2543332278728485,2.3000000000000003
NTAGFU0030.2012,6360.2,27.0,43.88888888888889,102.17746988932294,103.55321841769752,159.0745578342014,108.5731667412652,101.81524319118924,4.888888888888889,5.111111111111111,24.66666666666667,31.66666666666667,68.8888888888889,61.66666666666666,290.33333333333326,520.2222222222222,725.7777777777777,1622.888888888889,2279.777777777778,1520.888888888889,5661425,5144725,6392991,4957411,1568159,324634,4575979,3821900,48489960,43489275,1224000,1102000,2563530,2314478,-1464968,-1646586,1464968,1646586,-944103,-1684184,1841583,1531727,2177386,1831360,36098081,31196070,13442312,13951303,26854071,22360686,43624733,43823152,32453296,31411513,12085056,14047652,26330253,29235370,19587593,20955297,7294087,9371491,6035625,6671216,0.0007122886599972,3940.499999999988,0.0244777239859104,4784.199999999999,0.0685255602002143,7692.000000000003,0.0602629818022251,9288.299999999996,0.1366665661334991,0.1230067685246467,4.525,1473.4,0.2130548357963562,3.4000000000000004
NTAGFU0031.2012,5173.707,16.77777777777778,28.88888888888889,102.72152286105684,104.68163808186848,162.04974365234375,110.53708733452692,102.26761398315428,5.333333333333333,4.888888888888889,26.55555555555556,23.66666666666667,66.77777777777777,69.77777777777777,364.88888888888886,609.6666666666665,833.0,1821.4444444444448,2339.6666666666665,1479.0,4655391,4987654,3985642,4785379,724010,1036364,3234059,3722683,38441305,40899723,1101000,1212000,2242363,2446837,-1673254,-1553398,1673254,1553398,-1562804,-1245192,1404465,1647409,1667542,1936242,27431435,29876071,14020745,13663204,19564890,21866080,37579114,38376162,26802508,28087235,13699289,12845117,23732419,24259158,16926646,17755102,8651541,8119929,6315322,6321413,0.0007122886599972,3940.499999999988,0.0244777239859104,4784.199999999999,0.0685255602002143,7692.000000000003,0.0602629818022251,9288.299999999996,0.1366665661334991,0.1230067685246467,4.525,1473.4,0.2130548357963562,3.4000000000000004
NTAGFU0032.2012,2474.01,1.6,2.555555555555556,101.56537373860677,102.67345343695746,146.0838538275825,106.18758307562928,101.51370917426216,13.77777777777778,11.888888888888893,7.222222222222222,6.333333333333332,77.33333333333333,80.33333333333333,495.0,893.8888888888887,1339.333333333333,2219.555555555556,3218.0,2273.555555555556,4219504,4260925,2844215,2873255,-160356,-120214,2452086,2473300,36679518,37259323,1311000,1326000,2425682,2451923,-1971390,-1998208,1971390,1998208,-1838167,-1837410,1329401,1344142,1526673,1542416,24574784,24830329,14901112,14983219,16491912,16572092,35646477,36000000,23922024,24026879,14505307,14498398,25385661,25434431,17036085,16975278,10329963,10243292,7121506,7065120,0.0007137519423849,3944.199999999987,0.0245293844491243,4774.800000000001,0.068811260163784,7698.9,0.0604576170444488,9244.999999999996,0.1376867741346359,0.1237806007266044,4.575,1467.4000000000003,0.219281330704689,3.3000000000000003
NTAGFU0033.2012,23737.56,40.0,61.1875,103.114004611969,105.19022130966188,160.7360315322876,111.95031881332396,102.88677072525024,9.5,9.3125,38.8125,38.375,50.25,50.6875,230.0,407.125,498.9375,1476.125,1671.4375,955.8125,5735375,5677111,7497720,7215851,2117895,2143151,5075956,4954407,44466141,44373827,1049000,1069000,2304144,2329653,-930233,-1005525,930233,1005525,-643693,-619638,1739987,1745400,2103778,2103527,36894728,36257292,12052556,12255143,30611539,29585369,41978850,41054652,34829832,33499937,11378007,11323143,24012178,23477126,19922893,19156959,6508295,6475146,5720066,5718506,0.0007137519423849,3944.199999999987,0.0245293844491243,4774.800000000001,0.068811260163784,7698.9,0.0604576170444488,9244.999999999996,0.1376867741346359,0.1237806007266044,4.575,1467.4000000000003,0.219281330704689,3.3000000000000003
NTAGFU0034.2012,9030.945,25.85714285714285,35.875,101.31612311469183,102.66948954264323,138.20901574028863,105.4867638481988,101.7003173828125,22.33333333333333,17.22222222222222,20.0,24.0,56.0,57.33333333333334,519.6666666666666,970.2222222222224,1357.7777777777776,2385.555555555556,3365.4444444444453,2517.555555555556,4675237,4217586,3991359,3257275,-118451,-269278,3237717,2747194,38801619,34397332,1382000,1415000,2605581,2540395,-1693931,-1663086,1693931,1663086,-1668907,-1704348,1675862,1555916,1922798,1763898,27567415,24587723,14090075,13994503,19565130,17569558,38602287,34687357,27396794,24786416,14002868,14107592,28221093,25948236,20029058,18541735,10237120,10553330,7310731,7480604,0.0007122886599972,3940.499999999988,0.0244777239859104,4784.199999999999,0.0685255602002143,7692.000000000003,0.0602629818022251,9288.299999999996,0.1366665661334991,0.1230067685246467,4.525,1473.4,0.2130548357963562,3.4000000000000004
NTAGFU0035.2012,8413.79,5.4444444444444455,10.111111111111107,101.04759809705946,101.9215333726671,139.78094736735022,104.01194593641492,101.21456231011284,5.777777777777778,6.1111111111111125,16.666666666666668,12.444444444444445,76.1111111111111,79.77777777777777,380.4444444444445,651.5555555555555,1017.2222222222224,1990.333333333333,3171.1111111111118,2132.222222222222,4982578,5070049,3686435,3988336,-611354,-344493,3039084,3235783,47602666,47754253,1287000,1339000,2545826,2628583,-2290303,-2194245,2290303,2194245,-2454670,-2288316,1452827,1567814,1698042,1822780,29845758,30547408,15934876,15612210,18729834,19566357,49266495,48669850,30917402,31174222,16507034,15932563,33739503,32725102,21173371,20961223,11304622,10712890,6848367,6723896,0.0007027775864116,3936.299999999987,0.0244224406778812,4821.700000000004,0.0675778239965438,7716.900000000002,0.059698287397623,9300.2,0.1346852779388427,0.1215808168053627,4.550000000000002,1491.0999999999997,0.2129477709531784,3.5
NTAGFU0036.2012,12432.93333,18.666666666666668,31.777777777777786,102.37672339545357,104.08745998806424,161.55981614854602,109.13950686984592,102.06485239664715,8.222222222222221,3.111111111111111,19.0,25.33333333333333,71.22222222222223,70.22222222222223,360.0,660.3333333333335,973.1111111111112,1945.666666666667,2688.444444444445,1845.888888888889,5237695,4932821,4998965,4138502,345616,263852,3845566,3331049,45507342,43445478,1245000,1285000,2531517,2534517,-1743253,-1916718,1743253,1916718,-1660143,-1603712,1685600,1579087,1981355,1841374,31964321,29464917,14212899,14736665,22489655,19994291,44687316,40713444,31441379,27627312,13980374,13817600,29823564,27953895,20983448,18968943,9330267,9487179,6673832,6866011,0.0001340305025223,3888.7999999999824,0.0245893541723489,4866.700000000002,0.0718844383955001,7872.200000000003,0.058865375816822,8649.0,0.1290289610624313,0.1288584917783737,4.025,1292.2000000000005,0.2554130554199219,2.4000000000000004
NTAGFU0037.2012,10273.34,15.22222222222222,26.44444444444445,102.89432017008464,105.31141832139755,162.7249535454644,111.868408203125,102.87149963378906,11.888888888888893,4.333333333333333,22.44444444444445,21.444444444444443,64.0,72.8888888888889,323.1111111111112,633.7777777777778,894.0,1876.4444444444448,2371.333333333333,1611.666666666667,5224124,4954165,4720915,4485973,927172,759966,3684982,3545126,46890936,41856502,1282000,1243000,2579823,2483020,-1906077,-1709234,1906077,1709234,-1433158,-1165529,1667094,1618684,1952135,1895753,31848135,29607293,14690400,14105891,21679557,20989311,42499527,37415849,28930137,26524981,13344432,12637376,26447642,25429523,18003351,18027591,8304299,8588939,6223044,6796458,0.0001340305025223,3888.7999999999824,0.0245893541723489,4866.700000000002,0.0718844383955001,7872.200000000003,0.058865375816822,8649.0,0.1290289610624313,0.1288584917783737,4.025,1292.2000000000005,0.2554130554199219,2.4000000000000004
NTAGFU0038.2012,20359.82667,9.77777777777778,17.333333333333332,102.80948723687072,104.55976104736328,162.2313724093967,110.6872049967448,102.49917772081164,4.4444444444444455,3.333333333333333,25.33333333333333,17.777777777777782,68.55555555555556,77.33333333333333,285.33333333333326,523.0,730.6666666666665,1746.7777777777771,2250.777777777778,1401.0,5185007,5390040,4651755,5465383,550918,1096282,3644214,4103393,46329696,46597619,1079000,1223000,2285694,2523731,-1899757,-1652035,1899757,1652035,-1884951,-1261261,1440311,1727184,1730454,2038523,31543237,33399193,14694013,13970682,21466727,23906630,46192905,43035904,31436547,30804440,14644313,12885313,28248337,26787763,19224385,19174270,8955434,8020482,6115298,6224515,0.0001450151830795,3887.8999999999824,0.024572973139584,4870.7,0.0717639103531837,7879.999999999997,0.0589194539934396,8643.449999999999,0.1298478171229362,0.1290329918265342,3.9875,1297.1999999999996,0.258521169424057,2.4000000000000004
NTAGFU0039.2012,7432.81,2.555555555555556,5.111111111111111,102.26312086317274,103.95202975802952,149.4554672241211,107.69548882378471,102.34074571397568,4.111111111111111,3.2222222222222223,16.666666666666668,9.111111111111107,77.66666666666667,86.22222222222223,437.22222222222223,766.3333333333335,1136.4444444444443,2190.555555555556,3153.666666666666,2087.777777777778,5071194,4817321,4225081,3884585,477157,240823,3385214,3168972,46206420,42399907,1389000,1424000,2692208,2684766,-2035398,-1945321,2035398,1945321,-1866010,-1802358,1676970,1656818,1937160,1898871,30562685,28584892,15108588,14829636,20228683,19275518,44593616,41152675,29515409,27750293,14590870,14396652,27783810,27243729,18389415,18371138,9090762,9530814,6230446,6620160,0.0001340305025223,3888.7999999999824,0.0245893541723489,4866.700000000002,0.0718844383955001,7872.200000000003,0.058865375816822,8649.0,0.1290289610624313,0.1288584917783737,4.025,1292.2000000000005,0.2554130554199219,2.4000000000000004
NTAGFU0040.2012,7240.1175,52.75,75.25,104.01473299662273,107.71722348531088,154.78562291463214,114.73447608947754,104.48810386657716,2.0,2.25,51.91666666666666,50.0,44.75,46.16666666666666,248.16666666666677,503.4166666666666,640.75,2226.583333333333,2181.583333333333,1159.4166666666667,6287770,6313668,7744909,8649732,2981651,3152142,5179350,5533845,61137251,56307878,1748000,1723000,3370180,3343900,-1643725,-1198600,1643725,1198600,68935,102110,2587923,2698851,2903044,3024409,43812874,44229432,13913120,12728025,31490330,34749642,43209638,43335540,31056756,34047340,9862315,9797897,23696799,23030955,17031981,18094681,5408638,5207156,5484147,5314565,0.0001120603410527,3908.199999999983,0.02452496252954,4842.500000000002,0.0725658237934112,7837.500000000004,0.0592353604733944,8675.999999999998,0.1283343285322189,0.1291166394948959,3.975,1293.7,0.2563396990299225,2.4000000000000004
NTAGFU0041.2016,10569.7725,23.33333333333333,39.333333333333336,103.00600941975912,105.60085932413736,156.6952679951986,110.6634267171224,103.33377393086752,14.333333333333336,21.166666666666668,46.58333333333334,29.16666666666667,37.41666666666666,48.33333333333334,295.0,586.0,801.25,2233.75,2176.4166666666665,1395.25,5292181,5842497,4029328,6696602,-210748,2309813,3261956,4719842,53607511,52086600,1286000,1647000,2596231,3159611,-2453826,-1550108,2453826,1550108,-1344048,129281,1495896,2367171,1757242,2673637,32465434,38118601,16486683,13673208,19691914,27878315,42533838,37140216,25798905,27162767,13101269,9743331,33862611,23809727,20539371,17413417,10430358,6246223,7961334,6410767,0.0007803321350365,1098.6999999999823,0.0043837749399244,5124.2,0.0432145521044731,7521.099999999998,0.0626580044627189,9544.4,0.182401642203331,0.1240189373493194,3.875,1286.4999999999998,0.342857152223587,1.85
NTAPCK0002.2016,16375.181669999998,43.41666666666666,65.83333333333333,104.80565473768446,109.9676064385308,153.67859776814782,118.33800252278644,106.343143756573,7.666666666666668,7.833333333333332,49.83333333333334,43.41666666666666,40.833333333333336,47.16666666666666,198.66666666666669,416.4166666666666,544.0,1979.0,1749.75,953.8333333333331,6074766,6526096,7568324,9073195,2702249,3499318,5105788,5687673,54337250,62209689,1430000,1563000,2916780,3170385,-1404651,-1333333,1404651,1333333,90667,616953,2210156,2506144,2556296,2861226,40955816,47524515,13275023,13063838,30851786,36378676,40227232,42019212,30302948,32164522,9822105,8841587,23543733,22905743,17735362,17533701,5748569,4819774,5852685,5451255,0.0010292713996022,1418.1999999999716,0.0027550859376788,5243.799999999998,0.0244555473327636,7366.299999999997,0.0494374968111515,11047.799999999996,0.115384317934513,0.1281887888908386,4.625,1556.3999999999985,0.2934744358062744,2.9000000000000004
NTASTU0001.2016,4327.624,24.44444444444445,40.55555555555557,102.66794925265845,105.52119191487628,148.31810675727,110.27649180094404,103.75264655219183,10.444444444444445,11.22222222222222,31.777777777777786,29.88888888888889,56.33333333333334,57.33333333333334,476.22222222222223,803.0,1113.111111111111,2355.444444444445,3010.888888888889,2008.333333333333,4786613,4914503,4297352,4546144,898393,795324,3430006,3581315,39353774,40649479,1559000,1552000,2832142,2853641,-1623088,-1617954,1623088,1617954,-1176255,-1220876,1905413,1946116,2148847,2200047,28350987,29333057,13873414,13861907,20435479,21160910,35906892,37495503,25881798,27049311,12665129,12782678,23678567,25010378,17067584,18042523,8351937,8526346,6594435,6670234,0.0,884.9999999999852,0.0033904993906617,5120.499999999999,0.0506591163575649,7649.499999999996,0.0654571279883384,9030.5,0.2218734920024872,0.1245008781552314,3.2,1150.3999999999992,0.3610517680644989,1.0
