uid,site,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
25,NTAGFU0020,20120605,135.9633,-16.72487,260.5601666666666,283.33161111111104,1107.0379444444443,3601.5244999999995,2731.083055555555,4708.562444444444,1583.1518888888888,7711.293333333332,554.3833333333332,578.2277777777776,2259.261111111111,7350.049999999999,5573.638888888888,9609.31111111111,3230.922222222222,15737.333333333332
26,NTAGFU0021,20120606,135.9429,-16.7154,132.3008035714284,143.8631249999998,562.1043749999991,1828.6931249999973,1386.721874999998,2390.7974999999965,803.853749999999,3915.4499999999944,281.49107142857105,293.5982142857139,1147.151785714284,3732.0267857142803,2830.0446428571386,4879.178571428564,1640.517857142855,7990.714285714274
27,NTAGFU0022,20120607,135.9634,-16.73101,74.85337499999999,81.39512500000001,318.0283749999999,1034.6411249999999,784.581875,1352.6695,454.80575,2215.29,159.2625,166.1125,649.0374999999999,2111.5125,1601.1875,2760.55,928.175,4521.0
28,NTAGFU0023,20120609,135.83,-16.82389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NTAGFU0024,20120610,135.8932,-16.826,23.311999999999983,25.349333333333316,99.04533333333328,322.22399999999976,244.3466666666665,421.26933333333307,141.64266666666657,689.9199999999995,49.599999999999966,51.7333333333333,202.1333333333332,657.5999999999996,498.66666666666634,859.7333333333328,289.0666666666665,1407.999999999999
30,NTAGFU0025,20120610,135.8552,-16.82524,243.39184999999983,264.6628833333332,1034.0951833333324,3364.219949999998,2551.1319166666653,4398.315133333331,1478.8379666666658,7203.195999999995,517.8549999999997,540.128333333333,2110.3983333333317,6865.754999999996,5206.391666666664,8976.153333333328,3018.036666666665,14700.39999999999
31,NTAGFU0026,20120612,135.4061,-15.80912,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
32,NTAGFU0027,20120613,135.4606,-15.67927,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
33,NTAGFU0028,20120614,135.4598,-15.62924,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
34,NTAGFU0029,20120615,135.409,-15.5381,123.96641666666663,134.8003611111111,526.6941944444444,1713.4932499999998,1299.3643055555553,2240.1874444444443,753.2143888888887,3668.793333333333,263.75833333333327,275.10277777777776,1074.886111111111,3496.9249999999997,2651.7638888888887,4571.811111111111,1537.172222222222,7487.333333333333
35,NTAGFU0030,20120705,134.3778,-14.1349,214.90750000000017,233.68916666666678,913.0741666666673,2970.5025000000023,2252.570833333335,3883.576666666669,1305.768333333334,6360.2000000000035,457.2500000000004,476.9166666666669,1863.416666666668,6062.250000000005,4597.083333333337,7925.6666666666715,2664.833333333335,12980.000000000007
36,NTAGFU0031,20120706,134.3867,-14.12586,174.81658392857145,190.09453750000003,742.7405124999999,2416.3563375000003,1832.3545625000002,3159.09685,1062.177725,5173.707,371.95017857142864,387.94803571428577,1515.7969642857142,4931.339464285715,3739.4991071428576,6447.136428571429,2167.709642857143,10558.585714285715
37,NTAGFU0032,20120707,134.3736,-14.15062,83.595375,90.901125,355.17037500000004,1155.4751250000002,876.211875,1510.6454999999999,507.92175000000003,2474.0099999999998,177.8625,185.5125,724.8375000000001,2358.1125,1788.1875,3082.95,1036.575,5049.0
38,NTAGFU0033,20120708,134.3555,-14.17696,802.0785,872.1755,3407.7785,11086.5195,8407.0525,14494.298,4873.393,23737.56,1706.55,1779.95,6954.65,22625.55,17157.25,29580.2,9945.7,48444.0
39,NTAGFU0034,20120709,134.4216,-14.06223,305.1504375,331.8188125,1296.4879375,4217.8618125,3198.4596874999997,5514.349749999999,1854.080375,9030.945,649.25625,677.18125,2645.89375,8607.88125,6527.46875,11253.775,3783.8375,18430.5
40,NTAGFU0035,20120710,134.4207,-14.04786,284.29712500000016,309.1430416666668,1207.8887916666674,3929.622375000002,2979.8839583333347,5137.51116666667,1727.3765833333343,8413.790000000005,604.8875000000004,630.904166666667,2465.0791666666682,8019.637500000004,6081.395833333337,10484.716666666673,3525.2583333333355,17171.00000000001
41,NTAGFU0036,20120711,133.863,-14.67457,420.1016666666666,456.81611111111096,1784.8794444444443,5806.744999999999,4403.330555555554,7591.624444444443,2552.518888888888,12432.93333333333,893.8333333333331,932.2777777777775,3642.611111111111,11850.499999999998,8986.388888888887,15493.111111111108,5209.22222222222,25373.33333333333
42,NTAGFU0037,20120712,133.8924,-14.67367,347.13025,377.4674166666667,1474.8469166666669,4798.11675,3638.4745833333336,6272.9636666666665,2109.1478333333334,10273.34,738.575,770.3416666666667,3009.891666666667,9792.075,7425.458333333334,12801.966666666667,4304.383333333333,20966.0
43,NTAGFU0038,20120712,133.8937,-14.68998,687.9468333333351,748.0693888888909,2922.8690555555627,9508.964500000024,7210.771944444463,12431.833555555588,4179.934111111122,20359.82666666672,1463.7166666666706,1526.6722222222263,5965.038888888904,19406.05000000005,14715.86111111115,25371.088888888957,8530.4777777778,41550.66666666677
44,NTAGFU0039,20120714,133.8823,-14.6768,251.15037499999997,273.0994583333333,1067.0587083333332,3471.4601249999996,2632.4535416666663,4538.518833333333,1525.9784166666664,7432.8099999999995,534.3625,557.3458333333333,2177.670833333333,7084.612499999999,5372.354166666666,9262.283333333333,3114.2416666666663,15169.0
45,NTAGFU0040,20120715,133.8448,-14.67371,244.63940624999998,266.01946875,1039.39565625,3381.46396875,2564.20828125,4420.859625,1486.4180625,7240.1175,520.509375,542.896875,2121.215625,6900.946875,5233.078125,9022.1625,3033.50625,14775.75
46,NTAGFU0041,20160502,132.8915,-14.77999,430.1104285714284,467.0119999999998,1577.586499999999,4845.077999999997,3698.694999999998,6422.664499999996,2221.386999999999,10569.772499999995,915.128571428571,953.0857142857138,3219.564285714284,9887.91428571428,7548.357142857139,13107.478571428564,4533.442857142854,21570.964285714275
47,NTAMGD0001,20140313,137.3271,-20.02302,195.23800000000014,212.30066666666684,829.5046666666674,2698.626000000002,2046.403333333335,3528.1306666666696,1186.2573333333341,5778.0800000000045,415.4000000000003,433.26666666666705,1692.8666666666682,5507.400000000004,4176.333333333337,7200.266666666673,2420.933333333335,11792.00000000001
48,NTAMGD0002,20140312,137.3258,-20.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,NTAMGD0003,20160428,133.4389,-17.35821,101.14008333333338,109.97913888888893,429.71230555555576,1397.9822500000007,1060.108194444445,1827.6945555555565,614.5226111111114,2993.2466666666683,215.19166666666678,224.4472222222223,876.9638888888893,2853.0250000000015,2163.486111111112,3729.988888888891,1254.1277777777784,6108.66666666667
50,NTAMGD0004,20160429,133.5235,-17.52132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,NTAMGD0005,20160429,133.4836,-17.45585,172.9276875,188.0405625,734.7151875,2390.2475624999997,1812.5559375,3124.9627499999997,1050.700875,5117.804999999999,367.93125,383.75624999999997,1499.41875,4878.05625,3699.09375,6377.474999999999,2144.2875,10444.499999999998
52,NTAPCK0001,20160504,132.8181,-12.67578,264.73924999999997,287.1808333333333,959.1423333333332,5826.724749999999,1939.7589166666667,6786.295833333333,1808.1571666666664,8984.9095,563.275,586.0833333333333,1957.4333333333332,11891.275,3958.6916666666666,13849.583333333332,3690.1166666666663,18336.55
53,NTAPCK0002,20160505,132.7935,-12.82043,564.2900664682538,612.549048611111,1979.5632013888885,9347.650326388886,4493.965729166665,11327.213527777774,3167.384013888888,16375.181666666665,1200.6171626984126,1250.100099206349,4039.92490079365,19076.837400793647,9171.358630952378,23116.762301587296,6464.049007936506,33418.73809523809
54,NTASTU0001,20160430,133.4119,-15.87686,163.52307142857134,177.65105555555547,635.5420555555554,1999.5114999999994,1522.0889444444435,2635.0535555555543,900.6534444444441,4327.623999999998,347.9214285714284,362.55317460317445,1297.0246031746028,4080.635714285713,3106.3039682539666,5377.660317460315,1838.0682539682532,8831.88571428571
55,NTASTU0002,20160501,133.3782,-15.76784,212.7915208333331,231.25584027777754,855.9711319444435,2729.401062499997,2074.4799930555537,3585.3721944444405,1217.426097222221,5881.69866666666,452.7479166666662,471.95069444444397,1746.8798611111092,5570.206249999994,4233.632638888885,7317.0861111111035,2484.543055555553,12003.466666666653
56,NTASTU0003,20160501,133.3275,-15.70665,114.89384999999999,124.75155,421.52985,1294.75395,988.39125,1716.2838,593.5713,2824.458,244.45499999999998,254.595,860.265,2642.355,2017.125,3502.62,1211.37,5764.2
57,NTASTU0004,20160503,132.9914,-14.86384,309.17187499999994,335.4822916666666,1055.8260416666665,3138.515625,2405.367708333333,4194.341666666666,1474.1270833333333,6922.0375,657.8124999999999,684.657738095238,2154.7470238095234,6405.133928571428,4908.91369047619,8559.880952380952,3008.422619047619,14126.607142857143
58,NTASTU0005,20160503,133.0478,-14.90864,392.92152936507927,426.233461111111,1296.216172222222,3787.8291499999996,2909.1220277777775,5084.045322222222,1801.8759888888887,8402.808944444443,836.0032539682538,869.8642063492061,2645.3391269841263,7730.263571428571,5936.9837301587295,10375.602698412698,3677.2979365079364,17148.58968253968
59,NTTDAB0001,20140317,131.674,-13.96288,185.03031212121218,200.85396969696973,721.494709090909,4285.74104848485,1535.2582000000004,5007.235757575759,1358.9648121212124,6726.414566666668,393.68151515151527,409.9060606060607,1472.4381818181819,8746.410303030305,3133.1800000000007,10218.848484848488,2773.3975757575763,13727.37666666667
60,NTTDAC0001,20140318,130.7957,-13.13983,367.11647777777756,398.4195444444444,1127.6380888888884,6481.816094444442,2602.0075277777764,7609.454183333332,1794.2879888888883,10544.601277777776,781.0988888888885,813.101111111111,2301.302222222221,13228.196111111105,5310.219444444442,15529.498333333331,3661.812222222221,21519.59444444444
61,NTTMGD0001,20140315,133.4239,-17.28297,139.95872619047634,152.19030555555577,594.6404722222229,1934.5427500000023,1466.9890277777797,2529.1832222222256,850.3829444444455,4142.086666666672,297.78452380952416,310.59246031746073,1213.5519841269856,3948.0464285714334,2993.8551587301627,5161.598412698419,1735.475396825399,8453.238095238106
62,NTTPCK0001,20140319,131.127,-12.87196,297.4179396825396,322.85781111111106,1017.2750388888887,4993.7646888888885,2329.5941666666663,6011.039727777777,1617.4875888888887,8627.187916666666,632.8041269841269,658.893492063492,2076.0715079365077,10191.356507936507,4754.273809523809,12267.428015873016,3300.995079365079,17606.50595238095
63,NTTSTU0001,20140315,133.2712,-16.63024,697.1137916666667,758.0374861111111,2961.8165694444447,9635.672375,7306.856180555555,12597.488944444443,4235.632138888888,20631.12333333333,1483.2208333333333,1547.0152777777778,6044.523611111112,19664.6375,14911.951388888887,25709.16111111111,8644.147222222222,42104.33333333333
