uid	site	date_er	date	zone	easting	northing	lattitude	longitude	datum	factor	count	height_o	height_g	Discription	issues	cent_sp01	cent_l_sp01	cent_d_sp01	cent_sp02	cent_l_sp02	cent_d_sp02	cent_sp03	cent_l_sp03	cent_d_sp03	cent_sp04	cent_l_sp04	cent_d_sp04	cent_sp05	cent_l_sp05	cent_d_sp05	cent_sp06	cent_l_sp06	cent_d_sp06	cent_sp07	cent_l_sp07	cent_d_sp07	cent_sp08	cent_l_sp08	cent_d_sp08	cent_sp09	cent_l_sp09	cent_d_sp09	cent_sp10	cent_l_sp10	cent_d_sp10	cent_sp11	cent_l_sp11	cent_d_sp11	north_sp01	north_l_sp01	north_d_sp01	north_sp02	north_l_sp02	north_d_sp02	north_sp03	north_l_sp03	north_d_sp03	north_sp04	north_l_sp04	north_d_sp04	north_sp05	north_l_sp05	north_d_sp05	north_sp06	north_l_sp06	north_d_sp06	north_sp07	north_l_sp07	north_d_sp07	north_sp08	north_l_sp08	north_d_sp08	north_sp09	north_l_sp09	north_d_sp09	north_sp10	north_l_sp10	north_d_sp10	north_sp11	north_l_sp11	north_d_sp11	south_sp01	south_l_sp01	south_d_sp01	south_sp02	south_l_sp02	south_d_sp02	south_sp03	south_l_sp03	south_d_sp03	south_sp04	south_l_sp04	south_d_sp04	south_sp05	south_l_sp05	south_d_sp05	south_sp06	south_l_sp06	south_d_sp06	south_sp07	south_l_sp07	south_d_sp07	south_sp08	south_l_sp08	south_d_sp08	south_sp09	south_l_sp09	south_d_sp09	south_sp10	south_l_sp10	south_d_sp10	south_sp11	south_l_sp11	south_d_sp11	sw_sp01	sw_l_sp01	sw_d_sp01	sw_sp02	sw_l_sp02	sw_d_sp02	sw_sp03	sw_l_sp03	sw_d_sp03	sw_sp04	sw_l_sp04	sw_d_sp04	sw_sp05	sw_l_sp05	sw_d_sp05	sw_sp06	sw_l_sp06	sw_d_sp06	sw_sp07	sw_l_sp07	sw_d_sp07	sw_sp08	sw_l_sp08	sw_d_sp08	sw_sp09	sw_l_sp09	sw_d_sp09	sw_sp10	sw_l_sp10	sw_d_sp10	sw_sp11	sw_l_sp11	sw_d_sp11	ne_sp01	ne_l_sp01	ne_d_sp01	ne_sp02	ne_l_sp02	ne_d_sp02	ne_sp03	ne_l_sp03	ne_d_sp03	ne_sp04	ne_l_sp04	ne_d_sp04	ne_sp05	ne_l_sp05	ne_d_sp05	ne_sp06	ne_l_sp06	ne_d_sp06	ne_sp07	ne_l_sp07	ne_d_sp07	ne_sp08	ne_l_sp08	ne_d_sp08	ne_sp09	ne_l_sp09	ne_d_sp09	ne_sp10	ne_l_sp10	ne_d_sp10	ne_sp11	ne_l_sp11	ne_d_sp11	se_sp01	se_l_sp01	se_d_sp01	se_sp02	se_l_sp02	se_d_sp02	se_sp03	se_l_sp03	se_d_sp03	se_sp04	se_l_sp04	se_d_sp04	se_sp05	se_l_sp05	se_d_sp05	se_sp06	se_l_sp06	se_d_sp06	se_sp07	se_l_sp07	se_d_sp07	se_sp08	se_l_sp08	se_d_sp08	se_sp09	se_l_sp09	se_d_sp09	se_sp10	se_l_sp10	se_d_sp10	se_sp11	se_l_sp11	se_d_sp11	nw_sp01	nw_l_sp01	nw_d_sp01	nw_sp02	nw_l_sp02	nw_d_sp02	nw_sp03	nw_l_sp03	nw_d_sp03	nw_sp04	nw_l_sp04	nw_d_sp04	nw_sp05	nw_l_sp05	nw_d_sp05	nw_sp06	nw_l_sp06	nw_d_sp06	nw_sp07	nw_l_sp07	nw_d_sp07	nw_sp08	nw_l_sp08	nw_d_sp08	nw_sp09	nw_l_sp09	nw_d_sp09	nw_sp10	nw_l_sp10	nw_d_sp10	nw_sp11	nw_l_sp11	nw_d_sp11
10	wedo03	10/7/2012	7/10/2012	52	715486	8613592			WGS84	0.25	7	15	0.5	Eucalypt woodland/open forest		E. tetrodonta	5	0	Corymbia bleeseri	2	0	E. miniata	8	0	P. careya	2	0	E. chlorostachys	5	0	C. armstrongii	1	0	Corymbia polysciada	1	0	Corymbia porrecta	1	0	xanta dara	2	1	L. humilis	7	1				E. tetrodonta	14	0	Corymbia bleeseri	2	0	E. miniata	5	0	P. careya	1	0	E. chlorostachys	4	1	C. armstrongii	1	0	Corymbia polysciada	1	0	Corymbia porrecta	1	0										E. tetrodonta	21	0	Corymbia bleeseri	3	0	E. miniata	8	2	P. careya	1	2	E. chlorostachys	2	0	C. armstrongii	2	1																E. tetrodonta	4	1	Corymbia bleeseri	3	0	E. miniata	8	0																									E. tetrodonta	13	0	Corymbia bleeseri	4	0	E. miniata	4	0	E. chlorostachys	3	1	C. armstrongii	1	0																			E. tetrodonta	9	1	Corymbia bleeseri	3	0	E. miniata	7	0	P. careya	1	1	E. chlorostachys	2	0	C. armstrongii	1	0	Corymbia polysciada	1	0													E. tetrodonta	18	1	Corymbia bleeseri	2	1	E. miniata	7	1	P. careya	1	0	E. chlorostachys	2	0	C. armstrongii	3	0	Corymbia porrecta	1	1	L. humilis	3	0									
11	centa13	2/6/2013	6/2/2013	53	322674	8409992			GDA94	0.25	7					E. tetrodonta	6	2	Corymbia bleeseri	4	0	Corymbia dichromphloia	2	0	E. chlorostachys	0	1																						E. tetrodonta	9	0	Corymbia bleeseri	3	0	Corymbia dichromphloia	2	0	E. miniata	3	0																						E. tetrodonta	7	0	Corymbia bleeseri	7	0	Corymbia dichromphloia	4	0	E. chlorostachys	2	0																						E. tetrodonta	11	1	Corymbia bleeseri	5	0	Corymbia dichromphloia	1	0	Buchanania obovata	1	0																						E. tetrodonta	5	0	Corymbia bleeseri	4	0	Corymbia dichromphloia	1	0	E. chlorostachys	2	0	E. miniata	2	0																			E. tetrodonta	10	1	Corymbia bleeseri	3	0	Corymbia dichromphloia	2	0	E. chlorostachys	3	0																						E. tetrodonta	10	0	Corymbia bleeseri	3	0	Corymbia dichromphloia	2	0	E. miniata	2	0																					
12	centa14	2/6/2012	6/2/2012	53	315854	8407012			WGS84	0.25	7					E. tetrodonta	13	1	Corymbia dichromphloia	7	1																												E. tetrodonta	11	1	Corymbia dichromphloia	5	0	Buchanania obovata	2	0																									E. tetrodonta	9	0	Corymbia dichromphloia	5	0	E. chlorostachys	3	0																									E. tetrodonta	11	1	Corymbia dichromphloia	9	0	Buchanania obovata	1	0																									E. tetrodonta	11	0	Corymbia dichromphloia	9	0	E. chlorostachys	3	0	Buchanania obovata	1	0																						E. tetrodonta	8	1	Corymbia dichromphloia	9	0	E. chlorostachys	1	1																									E. tetrodonta	10	1	Corymbia dichromphloia	5	3	E. chlorostachys	1	0																								
13	gulf10	16/07/2013	7/16/2013	53	636872.0011	8227817.17			WGS84	0.25	7					E. miniata	9	1	E. tetrodonta	9	0	Acacia lamprocarpa	1	0	Corymbia grandifolia	1	0	Eucalyptus tectifica	1	0																			E. miniata	14	0	E. tetrodonta	5	0	Acacia lamprocarpa	1	0	Corymbia grandifolia	2	0																						E. miniata	10	0	E. tetrodonta	6	0	Buchanania obovata	2	0	E. chlorostachys	3	0	Eucalyptus tectifica	1	0																			E. miniata	11	0	E. tetrodonta	2	0	E. chlorostachys	1	0	Eucalyptus tectifica	2	0																						E. miniata	16	1	E. tetrodonta	6	0	E. chlorostachys	1	0																									E. miniata	10	0	E. tetrodonta	11	0	Buchanania obovata	3	0	Eucalyptus tectifica	4	0	E. chlorostachys	3	0																			E. miniata	9	0	E. tetrodonta	5	0	Buchanania obovata	1	0	Corymbia ferruginea	1	0	Acacia lamprocarpa	1	0	Corymbia grandifolia	1	0															
14	gulf11	16/07/2013	7/16/2013	53	671023	8220551			GDA94	0.25	7					E. tetrodonta	15	3	E. miniata	5	1	Buchanania obovata	1	0	E. chlorostachys	2	2																						E. tetrodonta	15	1	E. miniata	3	0	Buchanania obovata	1	0	P. pubescens	1	1	E. chlorostachys	3	0																			E. tetrodonta	14	0	E. miniata	4	1	Buchanania obovata	1	0	P. pubescens	2	0	E. chlorostachys	3	0	Planchonia sp.	1	1																E. tetrodonta	10	1	E. miniata	13	1	Buchanania obovata	2	0	E. chlorostachys	1	1																						E. tetrodonta	24	1	E. miniata	1	0	P. pubescens	1	0	Corymbia ferruginea	4	0	E. chlorostachys	1	1																			E. tetrodonta	26	0	P. pubescens	2	0	Corymbia ferruginea	2	0	E. chlorostachys	1	0																						E. tetrodonta	12	0	E. miniata	10	0	E. chlorostachys	5	1																								
15	gulf12	7/16/2013	7/16/2013	53	666401.9982	8216472.374			WGS84	0	7																																																																																																																																																																																																																																											
16	larr15	5/31/2013	5/31/2013	53	296710.9983	8317787.78			WGS84	0	7																																																																																																																																																																																																																																											
17	lim08	1/6/2013	6/1/2013	53	532763.997	8315751			WGS84	0	7																																																																																																																																																																																																																																											
18	lim09	1/6/2013	6/1/2013	53	538078.9965	8299694.001			WGS84	0	7																																																																																																																																																																																																																																											
19	lto04	5/28/2013	5/28/2013	52	692593.0043	8543413.536			WGS84	0	7																																																																																																																																																																																																																																											
20	lto05	5/28/2013	5/28/2013	52	692714.0037	8544671.536			WGS84	0	7																																																																																																																																																																																																																																											
21	man03	24/05/2013	5/24/2013						GDA94	0	7																																																																																																																																																																																																																																											
22	man06	24/05/2013	5/24/2013						GDA94	0	7																																																																																																																																																																																																																																											
23	umb07	3/6/2013	6/3/2013	52	788961.7142	8454814.992			GDA94	0.25	7					E. miniata	11	0	E. tetrodonta	6	0	Acacia latesens	2	0																									E. miniata	5	1	E. tetrodonta	3	0	E. chlorostachys	2	0	Buchanania obovata	2	0	Exacarpos latafolia	5	0	Denhmai obscura	1	0	Owinea sp.	1	0	Corymbia ferruginea	1	0										E. miniata	10	0	E. tetrodonta	11	1	Acacia latesens	1	0																									E. miniata	12	0	E. tetrodonta	5	0	E. chlorostachys	0	1	Acacia latesens	2	0																						E. miniata	10	1	E. tetrodonta	5	1	E. chlorostachys	0	1	Acacia latesens	1	0																						E. miniata	17	2	E. tetrodonta	4	0	Terminalia carpentariae	1	0	Corymbia sp.	1	0																						E. miniata	10	2	E. tetrodonta	3	0	Acacia latesens	0	2	Corymbia ferruginea	3	1	Eucalyptus sp.	1	0																		
