uid,site,date_er,date,zone,easting,northing,lattitude,longitude,datum,factor,count,height_o,height_g,Discription,issues,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11
11,centa13,2/6/2013,6/2/2013,53,322674,8409992,,,GDA94,0.25,7,,,,,E. tetrodonta,6,2,Corymbia bleeseri,4,0,Corymbia dichromphloia,2,0,E. chlorostachys,0,1,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,9,0,Corymbia bleeseri,3,0,Corymbia dichromphloia,2,0,E. miniata,3,0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,7,0,Corymbia bleeseri,7,0,Corymbia dichromphloia,4,0,E. chlorostachys,2,0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,11,1,Corymbia bleeseri,5,0,Corymbia dichromphloia,1,0,Buchanania obovata,1,0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,5,0,Corymbia bleeseri,4,0,Corymbia dichromphloia,1,0,E. chlorostachys,2,0,E. miniata,2,0,,,,,,,,,,,,,,,,,,,E. tetrodonta,10,1,Corymbia bleeseri,3,0,Corymbia dichromphloia,2,0,E. chlorostachys,3,0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,10,0,Corymbia bleeseri,3,0,Corymbia dichromphloia,2,0,E. miniata,2,0,,,,,,,,,,,,,,,,,,,,,
14,gulf11,16/07/2013,7/16/2013,53,671023,8220551,,,GDA94,0.25,7,,,,,E. tetrodonta,15,3,E. miniata,5,1,Buchanania obovata,1,0,E. chlorostachys,2,2,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,15,1,E. miniata,3,0,Buchanania obovata,1,0,P. pubescens,1,1,E. chlorostachys,3,0,,,,,,,,,,,,,,,,,,,E. tetrodonta,14,0,E. miniata,4,1,Buchanania obovata,1,0,P. pubescens,2,0,E. chlorostachys,3,0,Planchonia sp.,1,1,,,,,,,,,,,,,,,,E. tetrodonta,10,1,E. miniata,13,1,Buchanania obovata,2,0,E. chlorostachys,1,1,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,24,1,E. miniata,1,0,P. pubescens,1,0,Corymbia ferruginea,4,0,E. chlorostachys,1,1,,,,,,,,,,,,,,,,,,,E. tetrodonta,26,0,P. pubescens,2,0,Corymbia ferruginea,2,0,E. chlorostachys,1,0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,12,0,E. miniata,10,0,E. chlorostachys,5,1,,,,,,,,,,,,,,,,,,,,,,,,
24,amg01,6/19/2012,6/19/2012,53,398729,8188688,,,GDA94,0.25,7,11,0.4,"C. dicro, E.chloro low woodland over tussock grass",ok,Corymbia dichromphloia,1,0,E. chlorostachys,17,0,Corymbia ferruginea,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,3,0,Alphitonia excelsa,6,0,Bauhinia cunninghamii,2,0,E. chlorostachys,12,2,Terminalia canescens,2,1,Macropteranthes kekwickii,1,0,Brachychiton diversifolius,1,0,Atalaya hemiglauca,1,0,Corymbia ferruginea,3,0,Brachychiton paradoxus,1,0,Hakea arborescens,1,0,Corymbia dichromphloia,1,0,E. chlorostachys,14,0,Brachychiton diversifolius,3,0,Corymbia ferruginea,4,0,,,,,,,,,,,,,,,,,,,,,,E. chlorostachys,10,0,Brachychiton diversifolius,1,0,Corymbia ferruginea,1,0,Grevillia sp.,3,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7,0,Bauhinia cunninghamii,2,0,E. chlorostachys,19,1,Terminalia canescens,1,0,Brachychiton diversifolius,2,0,Corymbia ferruginea,2,0,Grevillia sp.,5,0,,,,,,,,,,,,,Corymbia dichromphloia,3,0,Bauhinia cunninghamii,1,0,E. chlorostachys,13,1,Terminalia canescens,1,0,Brachychiton diversifolius,2,0,Corymbia ferruginea,3,0,Grevillia sp.,2,0,species 1,1,0,Erythroxylum ellipticum,1,0,,,,,,,Corymbia dichromphloia,1,0,E. chlorostachys,17,5,Corymbia ferruginea,5,0,Erythroxylum ellipticum,1,0,P. pubescens,1,0,,,,,,,,,,,,,,,,,,
25,amg02,6/19/2012,6/19/2012,53,391379,8176982,,,GDA94,0,7,6.5,0.5,E. microtheca depression in Lanncewood gup,No factor,Eucalyptus microtheca,10,0,Acacia sp.,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,10,0,Acacia sp.,0,1,Brachychiton sp.,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,10,0,Acacia sp.,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,10,0,Acacia sp.,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,11,0,Acacia sp.,0,1,Brachychiton sp.,1,0,,,,,,,,,,,,,,,,,,,,,,,,
26,amg03,6/20/2012,6/20/2012,53,396799,8144642,,,GDA94,0,7,2.5,0.6,Clossed tussock grassland,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,amg05,6/21/2012,6/21/2012,53,403065,8149954,,,GDA94,0.75,7,,,,ok,Acacia shirleyi,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,12,7,Macropteranthes kekwickii,0,2,Eucalyptus microtheca,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,11,7,Macropteranthes kekwickii,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,14,4,Macropteranthes kekwickii,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,amg06,6/21/2012,6/21/2012,53,402749,8154049,,,GDA94,0.1,7,,,,ok,Corymbia dichromphloia,9,0,Corymbia ferruginea,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7,2,Corymbia ferruginea,4,2,Brachychiton sp.,1,0,Acacia sp.,1,0,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,16,0,Corymbia ferruginea,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,8,0,Corymbia ferruginea,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,8,0,Corymbia ferruginea,6,0,Brachychiton sp.,1,0,Acacia sp.,12,0,Grevillia sp.,2,0,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7,0,Corymbia ferruginea,8,3,Acacia sp.,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromphloia,7,0,Corymbia ferruginea,8,0,Acacia sp.,3,0,,,,,,,,,,,,,,,,,,,,,,,,
29,amg08,6/22/2012,6/22/2012,53,402776,8167869,,,GDA94,0.75,7,,,,ok,Acacia shirleyi,20,1,Macropteranthes kekwickii,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,32,5,Macropteranthes kekwickii,1,1,Terminalia volucris,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,12,2,Macropteranthes kekwickii,15,9,Terminalia volucris,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,12,3,Macropteranthes kekwickii,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,22,3,Macropteranthes kekwickii,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,18,5,Macropteranthes kekwickii,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia shirleyi,23,3,Macropteranthes kekwickii,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,amg09,6/22/2012,6/22/2012,53,406466,8173433,,,GDA94,0,7,8.5,0.4,None,No factor,Eucalyptus chlorophylla,17,0,Brachychiton paradoxus,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,10,1,Acacia gonoclada,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,24,0,Acacia gonoclada,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,amg10,6/22/2012,6/22/2012,53,413269,8184921,,,GDA94,0.1,7,,,,ok,Eucalyptus pruinosa,1,0,Eucalyptus chlorophylla,11,0,E. chlorostachys,4,0,Terminalia canescens,5,0,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,3,0,Eucalyptus chlorophylla,12,8,E. chlorostachys,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,1,0,Eucalyptus chlorophylla,13,2,E. chlorostachys,6,0,Macropteranthes kekwickii,2,0,,,,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,17,1,E. chlorostachys,2,0,Brachychiton sp.,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,11,0,Eucalyptus chlorophylla,4,0,E. chlorostachys,4,1,Brachychiton sp.,1,0,Terminalia canescens,1,0,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,7,0,Eucalyptus chlorophylla,7,0,E. chlorostachys,7,1,Acacia sp.,2,0,Dodonaea physocarpa,2,0,,,,,,,,,,,,,,,,,,,Eucalyptus chlorophylla,9,0,E. chlorostachys,4,1,dead,3,0,,,,,,,,,,,,,,,,,,,,,,,,
32,antgr01,6/26/2012,6/26/2012,53,521044,7982865,,,GDA94,0,7,0,0.1,pasture - grasslands ,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ant05,6/25/2012,6/25/2012,53,510309,7980994,,,GDA94,0,7,3.5,0.7,Dry lake bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ant04,6/24/2012,6/24/2012,53,508916,7982047,,,GDA94,0,7,,,pasture - grasslands ,ok - height not recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ant03,6/24/2012,6/24/2012,53,506133,7983236,,,GDA94,0.1,7,,,,Hight not recoprded,Eucalyptus microtheca,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ant02,6/24/2012,6/24/2012,53,504330,7984977,,,GDA94,0,7,0,0.5,pasture - grasslands ,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ant01,6/23/2012,6/23/2012,53,531048,8012136,,,GDA94,0,7,0,0.3,pasture - grasslands ,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,barkely01,10/25/2011,10/25/2011,53,504308,8009619,,,GDA94,0,7,0,0.4,pasture - grasslands,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,barkely03,10/26/2011,10/26/2011,53,530524,8007079,,,GDA94,0,7,1.3,0.4,pasture - grasslands - no trees,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,barkely04,10/26/2011,10/26/2011,53,523886,8011483,,,GDA94,0,7,0,0.4,pasture - grasslands - no trees,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,barkely05,10/27/2011,10/27/2011,53,509227,8011596,,,GDA94,0,7,0,0.6,pasture - tussock grasslands,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,barkely06,10/27/2011,10/27/2011,53,527256,8011231,,,GDA94,0,7,0,0.3,pasture - blacksoil plains ,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,barkely07,10/27/2011,10/27/2011,53,564473,8000269,,,GDA94,0.25,7,7,0.6,Tussock grassland with scattered trees,,Excoecaria parvifolia,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excoecaria parvifolia,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,el01,4/13/2013,4/13/2013,53,343439,8059357,,,GDA94,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,nc01,4/14/2013,4/14/2013,53,263120.9991,7438072,,,GDA94,0.25,7,,,,,Eucalyptus microtheca,9,2,Exocarpos parvifolia,5,4,Acacia stenophylla,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,11,1,Exocarpos parvifolia,10,1,Acacia stenophylla,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,15,0,Exocarpos parvifolia,3,0,Acacia stenophylla,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,16,1,Exocarpos parvifolia,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,15,3,Exocarpos parvifolia,13,2,Acacia stenophylla,3,1,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,14,1,Exocarpos parvifolia,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus microtheca,15,1,Exocarpos parvifolia,7,0,Acacia stenophylla,2,0,,,,,,,,,,,,,,,,,,,,,,,,
