,uid,site,date,zone,easting,northing,lattitude,longitude,datum,factor,count,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11
10,,LKF08a,26/09/2014 7:53,275101,275134,8324485,,,,0.25,7,E. tectifica 103-0617 0619,11,0,E. dichromophloia 103-0622,10,0,Cabbageleaf 103-0626 0628,0,1,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica 103-0617 0619,8,1,E. dichromophloia 103-0622,12,0,,,,Cabbageleaf 103-0626 0628,0,1,Acacia1 103-0629 0631,2,0,,,,,,,,,,,,,,,,,,,E. Tectifica 103-0617 0619,5,0,E dichromophloia 103-0622,10,0,Roughbark 103- 0635 0637,3,0,,,,,,,,,,,,,,,,,,,,,,,,,E. Tectifica 103-0617 0619,9,1,E. dichromophloia 103-0622,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Tectifica 103-0617 0619,8,3,E. dichromophloia 103-0622,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica 103-0617 0619,10,1,E. dichromophloia 103-0622,12,0,Acacia1 103-0629 0631,4,0,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica 103-0617 0619,6,0,E. dichromophloia 103-0622,13,0,Acacia1 103-0629 0631,2,0,Melaleuca 103-0632 0634,2,0,,,,,,,,,,,,,,,,,,,,,
11,,LKF09a,26/09/2014 10:17,267183,267191,8322803,,,,0.25,7,"E. tectifica (103-0650,651,652)",11,1,Ironwood,11,0,"Brachychiton populneus (103-0659,660,661)",1,0,"Gyrocarpus americanus (103-662,663,664)",1,0,"Euc roughleaf (103-0668,669,670)",4,0,"Erythrina vespertilio (103-665,666,667)",2,0,Hakea,1,0,E. dichromophloia,1,0,,,,,,,,,,"E. tectifica (103-0650,651,652)",5,0,Ironwood,8,0," Eucalyptus salmonophloia(103-0653,654,655)",4,0,"Bohenia (103-0656,657,658)",7,0,"Euc roughleaf (103-0668,669,670)",3,0,"Erythrina vespertilio (103-665,666,667)",1,0,,,,,,,,,,,,,,,,"E. Tectifica (103-0650,651,652)",7,0,Ironwood,3,0,"Eucalyptus salmonophloia (103-0653,654,655)",1,0,"Euc roughleaf (103-0668,669,670)",5,0,Haikia,1,0,,,,,,,,,,,,,,,,,,,"E. tethica (103-0650,651,652)",7,0,Ironwood,7,0,"Eucalyptus salmonophloia(103-0653,654,655)",1,0,"Bohenia (103-0656,657,658)",7,0,"Brachychiton populneus (103-0659,660,661)",2,0,"Euc roughleaf (103-0668,669,670)",4,0,,,,,,,,,,,,,,,,"E. tectifica (103-0650,651,652)",8,0,Ironwood,5.5,0,"Eucalyptus salmonophloia (103-0653,654,655)",2,0,"Bohenia (103-0656,657,658)",1,0,"Gyrocarpus americanus (103-662,663,664)",1,0,"Euc roughleaf (103-0668,669,670)",2,0," Erythrina vespertilio(103-665,666,667)",1,0,,,,,,,,,,,,,"E. tectifica (103-0650,651,652)",8,0,,,,"Eucalyptus salmonophloia (103-0653,654,655)",1,0,"Bohenia (103-0656,657,658)",3,0,"Brachychiton populneus (103-0659,660,661)",3,0,"Euc roughleaf (103-0668,669,670)",5,0,"Erythrina vespertilio (103-665,666,667)",1,0,Hakea,1,0,,,,,,,,,,"E. tectifica (103-0650,651,652)",7,1,Ironwood,5,0,"Bohenia (103-0656,657,658)",1,0,"Euc roughleaf (103-0668,669,670)",4,0,"Erythrina vespertilio (103-665,666,667)",2,0,,,,,,,,,,,,,,,,,,
12,,Llc18a,5/09/2014 12:21,1020458.79,1020466.607,7158202.831,,,,0.1,7,Acacia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Llc12a,3/09/2014 9:34,1000871.011,1000884.595,7160752.572,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Llc14a,3/09/2014 15:43,999362.6801,999368.588,7148393.582,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Llc15a,4/09/2014 12:01,985454.4483,985464.6313,7155357.207,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia victoriae,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia victoriae,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia victoriae,3,0,Dodonea viscosa,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Llc16a,4/09/2014 15:11,1020607.628,1020607.628,7173454.458,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Llc17a,5/09/2014 9:20,1028143.527,1028151.416,7168953.943,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Llc19a,5/09/2014 16:48,1040874.762,1040882.003,7173268.025,,,,0.1,7,Acaicia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acaicia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dodonaea viscosa,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acaicia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Llc20a,6/09/2014 9:45,1046558.513,1046563.214,7161608.757,,,,0.1,7,Eucalyptus coolabah,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolibah,12,0,Acacia victoriae,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,20,0,Acacia victoriae,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,11,0,Acacia victoriae,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Llc21a,6/09/2014 14:15,1041626.215,1041635.294,7158425.855,,,,0.1,7,Codonocarpus cotinifolius,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codonocarpus cotinifolius,0,1,Acacia remosa,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codonocarpus cotinifolius,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Llc22a,7/09/2014 8:43,1019030.309,1019037.857,7152340.132,,,,0.1,7,Acacia aneura,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,5,0,Acacia ligulata,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,3,0,Acacia ligulata,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,LRZ08a,28/09/2014 7:39,233409,233428,8276126,,,,0.25,7,"E. dichromophloia (103-0715,716,717)",2,0,"Orange euc (103-0718,719,720)",2,0,"Acacia (103-0709,710,711)",16,5,"Ironwood (103-0712,713,714)",1,0,E. tectifica,3,0,,,,,,,,,,,,,,,,,,,"E. dichromophloia (103-0715,716,717)",2,1,"Orange euc (103-0718,719,720)",3,0,"Terminalia (103-0721,722,723)",1,0,"Acacia (103-0709,710,711)",9,7,"Ironwood (103-0712,713,714)",3,0,,,,,,,,,,,,,,,,,,,"Orange euc (103-0718,719,720)",7,0,"Terminalia (103-0721,722,723)",2,0,"Acacia (103-0709,710,711)",4,0,"Ironwood (103-0712,713,714)",9,0,"E. tectifica (103-0724,725,726)",7,0,Hakea,1,0,,,,,,,,,,,,,,,,"Orange euc (103-0718,719,720)",4,0,"Acacia (103-0709,710,711)",9,4,"Ironwood (103-0712,713,714)",2,0,,,,,,,,,,,,,,,,,,,,,,,,,"E. dichromophloia (103-0715,716,717)",2,0,"Orange euc (103-0718,719,720)",1,0,"Terminalia (103-0721,722,723)",2,0,"Acacia (103-0709,710,711)",4,0,"Ironwood (103-0712,713,714)",3,0,"E. tectifica (103-0724,725,726)",13,3,Gyrocarpus americanus,2,0,,,,,,,,,,,,,"E. dichromophloia (103-0715,716,717)",1,0,"Orange euc (103-0718,719,720)",2,0,"Terminalia (103-0721,722,723)",3,0,"Acacia (103-0709,710,711)",1,0,"Ironwood (103-0712,713,714)",3,0,"E. tectifica (103-0724,725,726)",11,0,Brachychiton populneus,1,0,,,,,,,,,,,,,"E. dichromophloia (103-0715,716,717)",7,2,"Orange euc (103-0718,719,720)",3,0,"Terminalia (103-0721,722,723)",7,1,"Acacia (103-0709,710,711)",6,0,,,,,,,,,,,,,,,,,,,,,
