uid,site,date,zone,easting,northing,lattitude,longitude,datum,factor,count,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11
,WMT08A,12/08/2015 9:57,52,778602,8346422,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WMT09A,13/08/2015 9:16,52,765578,8361848,,,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH16A,21/05/2015 14:48,,17.6382,131.00726,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH17A,22/05/2015 9:27,,17.59232,130.90428,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH18A,23/05/2015 9:35,,18.23514,130.67934,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH19A,23/05/2015 10:59,,18.02068,130.76845,,,,0.1,7,Corymbia dichromophloia ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromophloia ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia sp,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia dichromophloia ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH20A,23/05/2015 12:48,,17.85033,130.82774,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH21A,24/05/2015 9:10,,17.80575,130.86395,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH22A,24/05/2015 11:28,,17.84572,130.91144,,,,0.1,7,"Corymbia opaca (1 104-0564,66,67)",15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. brevifolia 104-0568,69, 70, 71 ",2,0,"Corymbia opaca1 104-0564,66,67",14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. brevifolia 104-0568,69, 70, 71 ",1,0,"Corymbia opaca1 104-0564,66,67",7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. brevifolia 104-0568,69, 70, 71 ",7,2,"Blooodwood1 104-0564,66,67",9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. brevifolia 104-0568,69, 70, 71 ",9,2,"Blooodwood1 104-0564,66,67",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. brevifolia 104-0568,69, 70, 71 ",1,0,"Corymbia opaca1 104-0564,66,67",13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. brevifolia 104-0568,69, 70, 71 ",8,2,"Corymbia opaca1 104-0564,66,67",13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH23A,25/05/2015 9:02,,17.46472,130.98305,,,,0.1,7,Terminalia arostrata,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH24A,25/05/2015 10:46,,17.47722,130.90723,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. terminalis,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. terminalis,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. terminalis,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVH25A,26/05/2015 11:12,,17.4842,131.1792,,,,0.1,7,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ybh19a,6/07/2015 11:43,52,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alb,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alb15a,25/08/2015 11:39,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alb16a,25/08/2015 13:53,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alb17a,26/08/2015 13:04,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alb18a,26/08/2015 15:27,,,,,,,0.1,7,Acacia georginae,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia georginae,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia georginae,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia georginae,10.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia georginae,28,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia georginae,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia georginae,4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19a,27/08/2015 11:46,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALM19A,12/05/2015 13:25,53,135.3134873,-23.2356003,,,,0.1,7,Acacia estrophiolata,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakea divaricata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia estrophiolata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia estrophiolata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aln11a,27/04/2015,52,133.33314,-22.70333,,,,0.1,7,Acacia aneura,3.5,2,Hakea divaricata,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,0,Hakea divericata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,12.5,0,Hakea divericata,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALN12a,,53,133.15807,-22.60999,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aln14,29/04/2015 9:12,52,133.6656,-22.92262,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALN16a,29/04/2015 12:54,53,133.51397,-22.7139,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
