uid,site,date,zone,easting,northing,lattitude,longitude,datum,factor,count,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11
,atl21a,5/16/2013 9:19,53,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,atl22a,5/11/2013 12:16,53,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,atl24a,7/17/2013 15:53,53,479082,8049399,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,btl01a,8/27/2013 16:22,53,377430,8087694,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,btl02a,8/27/2013 15:00,53,388444,8085812,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,btl03a,8/29/2013 11:25,53,421547,8099407,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,btl05a,8/30/2013 7:42,53,418098,8130841,,,,0.25,7,Acacia shirleyi,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichromaflioa,4,0,Macropteranthes kekwickii,1,0,Acacia shirleyi,5,1,Shrub x,2,0,,,,,,,,,,,,,,,,,,,,,,Dichromaflioa,3,0,Macropteranthes kekwickii,3,0,Acacia shirleyi,3,1,,,,,,,,,,,,,,,,,,,,,,,,,Dichromaflioa,2,0,Acacia shirleyi,1,2,Shrub x,1,0,Acacia lysiphloia,0,1,,,,,,,,,,,,,,,,,,,,,,Dichromaflioa,4,0,Acacia shirleyi,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichromaflioa,2,0,Acacia shirleyi,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichromaflioa,3,0,Acacia shirleyi,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,btl06a,8/28/2013 10:40,53,390609,8103625,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,btl07a,8/28/2013 8:09,53,375115,8097701,,,,0.25,7,E. microtheca,1,0,Excoecaria parvifolia,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,4,0,Excoecaria parvifolia,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,9,0,Excoecaria parvifolia,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,13,0,Excoecaria parvifolia,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,7,1,Excoecaria parvifolia,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,6,0,Excoecaria parvifolia,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,6,0,Excoecaria parvifolia,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cts02a,5/14/2013,52,769630.3894,7214997.592,,,,0.1,7,Acacia tetragonophylla,6,0,Acacia kempeana,1,0,Acacia aneura,0,9,,,,,,,,,,,,,,,,,,,,,,,,,Acacia tetragonophylla,3,0,Acacia kempeana,1,0,Acacia aneura,0,8,,,,,,,,,,,,,,,,,,,,,,,,,Acacia tetragonophylla,1,0,Acacia aneura,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia tetragonophylla,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia tetragonophylla,1,2,Acacia aneura,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia tetragonophylla,10,1,Acacia kempeana,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cst03a,5/14/2013,52,772271,7227897,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cst05a,5/15/2013,52,792682.4635,7240991.946,,,,0.1,7,Acacia aneura,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cts01a,5/13/2013 15:05,52,771827.7127,7192687.253,,,,0.1,7,Acacia kempeana,1,1,Acacia tetragonophylla,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia kempeana,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia kempeana,0,0,Acacia tetragonophylla,0,0,Acacia anura,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,2,Acacia tetragonophylla,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cts06a,5/16/2013,52,797543.0402,7182197.994,,,,0.1,7,Acacia aneura,3,5,Acacia tetragonophylla,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,0,6,Acacia tetragonophylla,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,0,3,Acacia tetragonophylla,5,8,Acacia murratana,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,1,2,Acacia tetragonophylla,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,1,10,Acacia tetragonophylla,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia tetragonophylla,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eda04a,6/07/2013,53,276440.4736,7187245.898,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva01a,7/18/2013 12:13,53,466155.0013,8019355.41,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva02a,7/18/2013 15:22,53,459941,8016852,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva03a,7/19/2013 8:52,53,458976,8003803,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva04a,7/19/2013 13:49,53,452613,7993636,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva05a,7/19/2013 15:34,53,453714,7984212,,,,0.1,7,E. coolabah,4,0,Acacia victoriae,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,10,1,Acacia victoriae,1,0,Excoecaria parvifolia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,2,0,Excoecaria parvifolia,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,12,0,Acacia victoriae,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,12,0,Excoecaria parvifolia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,5,0,Excoecaria parvifolia,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva06a,7/20/2013 8:46,53,455988,7973435,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva07a,7/20/2013 10:50,53,478938,7970818,,,,0.1,7,E.coolabah,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva08a,7/21/2013 9:48,53,489073,7996372,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva09a,7/20/2013 14:59,53,485382,7987687,,,,0.1,7,E. coolabah,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.coolabah,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eva10a,7/19/2013 11:00,53,467493,8011091,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
