site_name,visit_date,latitude,longitude,species,ba_m2ha,uid,datum,geometry,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
NTAGFU0025,20120610,-16.82524,135.8552,Melaleuca stenostachya,4.68333333333333,30,gda94,POINT (135.8552 -16.82524),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,435.54999999999967,454.283333333333,1774.983333333332,5774.549999999996,4378.916666666663,7549.533333333328,12363.99999999999,2538.366666666665,243.39184999999983,264.6628833333332,1034.0951833333324,3364.219949999998,2551.1319166666653,4398.315133333331,1478.8379666666658,7203.195999999995,517.8549999999997,540.128333333333,2110.3983333333317,6865.754999999996,5206.391666666664,8976.153333333328,3018.036666666665,14700.39999999999
NTAGFU0025,20120610,-16.82524,135.8552,Terminalia volucris,0.46,30,gda94,POINT (135.8552 -16.82524),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,42.78,44.620000000000005,174.34,567.1800000000001,430.1,741.52,1214.4,249.32000000000002,243.39184999999983,264.6628833333332,1034.0951833333324,3364.219949999998,2551.1319166666653,4398.315133333331,1478.8379666666658,7203.195999999995,517.8549999999997,540.128333333333,2110.3983333333317,6865.754999999996,5206.391666666664,8976.153333333328,3018.036666666665,14700.39999999999
NTAGFU0025,20120610,-16.82524,135.8552,Ventilago viminalis,0.175,30,gda94,POINT (135.8552 -16.82524),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,16.275,16.974999999999998,66.325,215.77499999999998,163.625,282.09999999999997,461.99999999999994,94.85,243.39184999999983,264.6628833333332,1034.0951833333324,3364.219949999998,2551.1319166666653,4398.315133333331,1478.8379666666658,7203.195999999995,517.8549999999997,540.128333333333,2110.3983333333317,6865.754999999996,5206.391666666664,8976.153333333328,3018.036666666665,14700.39999999999
NTAGFU0026,20120612,-15.80912,135.4061,Atalaya hemiglauca,0.3,31,gda94,POINT (135.4061 -15.80912),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,27.9,29.099999999999998,113.7,369.9,280.5,483.59999999999997,792.0,162.6,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
NTAGFU0026,20120612,-15.80912,135.4061,Bauhinia cunninghamii,0.2,31,gda94,POINT (135.4061 -15.80912),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
NTAGFU0026,20120612,-15.80912,135.4061,Brachychiton diversifolius,0.125,31,gda94,POINT (135.4061 -15.80912),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,11.625,12.125,47.375,154.125,116.875,201.5,330.0,67.75,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
NTAGFU0026,20120612,-15.80912,135.4061,Erythrophleum chlorostachys,0.25,31,gda94,POINT (135.4061 -15.80912),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,38.5,40.0,100.25,261.0,203.5,361.25,603.25,135.5,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
NTAGFU0026,20120612,-15.80912,135.4061,Eucalyptus tectifica,1.16666666666667,31,gda94,POINT (135.4061 -15.80912),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,108.50000000000031,113.166666666667,442.16666666666794,1438.500000000004,1090.8333333333364,1880.6666666666722,3080.000000000009,632.3333333333352,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
NTAGFU0026,20120612,-15.80912,135.4061,Grevillea striata,0.775,31,gda94,POINT (135.4061 -15.80912),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,72.075,75.175,293.725,955.575,724.625,1249.3,2046.0,420.05,130.28400000000013,141.59366666666682,525.7781666666672,1678.5930000000021,1275.633333333335,2204.3711666666695,748.0503333333343,3615.8325000000045,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
NTAGFU0027,20120613,-15.67927,135.4606,Acacia dimidiata,0.1,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
